"X","Y","Prediction","Method"
37,78,0,"CART"
55,60,0,"CART"
58,59,0,"CART"
50,80,0,"CART"
66,32,0,"CART"
65,38,0,"CART"
72,59,0.25,"CART"
56,61,0,"CART"
53,59,0,"CART"
90,32,0.0555555555555556,"CART"
6,88,0.307692307692308,"CART"
65,34,0,"CART"
50,64,0,"CART"
45,64,0,"CART"
68,32,0,"CART"
68,33,0,"CART"
71,35,0,"CART"
52,57,0,"CART"
51,77,0,"CART"
52,66,0,"CART"
56,62,0,"CART"
93,29,0,"CART"
70,38,0,"CART"
81,43,0.4,"CART"
64,40,0.0555555555555556,"CART"
77,41,0.166666666666667,"CART"
73,63,0,"CART"
79,26,0.222222222222222,"CART"
84,35,0.142857142857143,"CART"
45,86,0.153846153846154,"CART"
95,24,0,"CART"
49,53,0,"CART"
58,62,0,"CART"
54,66,0,"CART"
83,28,0.0555555555555556,"CART"
68,68,0.4,"CART"
79,12,0.133333333333333,"CART"
74,10,0,"CART"
91,26,0,"CART"
59,31,0.1,"CART"
46,80,0,"CART"
65,37,0,"CART"
95,29,0.142857142857143,"CART"
70,12,0,"CART"
78,50,0,"CART"
77,34,0.142857142857143,"CART"
89,30,0,"CART"
59,98,0.0625,"CART"
61,32,0.1,"CART"
56,97,0.0625,"CART"
53,73,0,"CART"
87,26,0.111111111111111,"CART"
78,45,0,"CART"
61,74,0.4,"CART"
63,30,0,"CART"
40,67,0,"CART"
57,58,0,"CART"
44,62,0,"CART"
46,43,0.214285714285714,"CART"
56,41,0,"CART"
58,86,0,"CART"
77,39,0,"CART"
61,72,0,"CART"
86,29,0,"CART"
66,66,0,"CART"
65,26,0.571428571428571,"CART"
54,68,0,"CART"
71,42,0.285714285714286,"CART"
64,41,0.0555555555555556,"CART"
80,30,0,"CART"
85,35,0.2,"CART"
56,56,0,"CART"
53,55,0,"CART"
74,48,0,"CART"
65,32,0,"CART"
60,36,0,"CART"
50,70,0,"CART"
57,31,0.117647058823529,"CART"
55,94,0,"CART"
65,69,0,"CART"
71,77,0,"CART"
66,50,0.416666666666667,"CART"
55,78,0.375,"CART"
44,76,0,"CART"
76,39,0,"CART"
39,63,0,"CART"
81,36,0.142857142857143,"CART"
74,13,0,"CART"
52,55,0,"CART"
72,73,0,"CART"
68,31,0,"CART"
77,55,0.25,"CART"
56,42,0,"CART"
70,51,0.0909090909090909,"CART"
59,40,0,"CART"
58,35,0,"CART"
64,70,0,"CART"
70,52,0.0909090909090909,"CART"
44,68,0,"CART"
64,83,0.1,"CART"
85,25,0.111111111111111,"CART"
70,73,0,"CART"
43,65,0,"CART"
82,22,0,"CART"
72,75,0,"CART"
70,36,0,"CART"
94,25,0,"CART"
72,26,0.166666666666667,"CART"
66,30,0,"CART"
50,53,0,"CART"
51,67,0,"CART"
76,46,0,"CART"
77,37,0.5625,"CART"
44,84,0,"CART"
84,23,0,"CART"
63,55,0.1875,"CART"
50,77,0,"CART"
63,42,0.0555555555555556,"CART"
67,23,0,"CART"
80,16,0.133333333333333,"CART"
43,61,0.222222222222222,"CART"
74,55,0.142857142857143,"CART"
71,21,0,"CART"
78,28,0,"CART"
63,64,0,"CART"
71,31,0,"CART"
42,72,0,"CART"
85,33,0,"CART"
77,45,0,"CART"
45,61,0.222222222222222,"CART"
45,63,0,"CART"
65,28,0,"CART"
72,68,0,"CART"
87,33,0.0555555555555556,"CART"
62,93,0,"CART"
75,17,0,"CART"
67,28,0,"CART"
65,35,0,"CART"
46,70,0,"CART"
97,14,0.6875,"CART"
76,65,0,"CART"
82,35,0,"CART"
64,39,0,"CART"
81,42,0.4,"CART"
51,76,0,"CART"
78,4,0.25,"CART"
43,68,0,"CART"
56,55,0,"CART"
47,30,0.7,"CART"
54,91,0.533333333333333,"CART"
68,36,0,"CART"
74,63,0,"CART"
46,62,0,"CART"
44,64,0,"CART"
65,24,0.888888888888889,"CART"
88,22,0,"CART"
71,19,0,"CART"
81,4,0.769230769230769,"CART"
72,17,0,"CART"
76,32,0,"CART"
82,46,0.4,"CART"
53,87,0,"CART"
35,35,0.571428571428571,"CART"
44,82,0,"CART"
42,68,0,"CART"
56,84,0,"CART"
79,36,0,"CART"
71,66,0,"CART"
58,49,0.416666666666667,"CART"
91,29,0,"CART"
71,61,0.25,"CART"
70,86,0,"CART"
60,47,0.388888888888889,"CART"
60,59,0,"CART"
68,85,0,"CART"
43,78,0,"CART"
87,24,0,"CART"
80,37,0,"CART"
70,25,0,"CART"
54,83,0,"CART"
60,45,0,"CART"
38,79,0,"CART"
50,57,0,"CART"
52,69,0,"CART"
75,16,0,"CART"
75,25,0.166666666666667,"CART"
70,77,0.222222222222222,"CART"
72,14,0,"CART"
48,75,0.125,"CART"
61,33,0.1,"CART"
53,84,0,"CART"
73,8,0,"CART"
77,38,0.5625,"CART"
62,98,0.166666666666667,"CART"
80,28,0,"CART"
61,67,0,"CART"
39,87,0.153846153846154,"CART"
96,4,0.461538461538462,"CART"
36,36,0.4,"CART"
50,42,0,"CART"
44,74,0,"CART"
61,68,0,"CART"
70,71,0.1875,"CART"
62,96,0.157894736842105,"CART"
51,33,0.631578947368421,"CART"
56,35,0,"CART"
55,66,0,"CART"
58,32,0.1,"CART"
54,32,1,"CART"
60,32,0.1,"CART"
47,36,0.214285714285714,"CART"
48,73,0.125,"CART"
60,67,0,"CART"
83,22,0,"CART"
73,21,0,"CART"
58,73,0,"CART"
