"X","Y","Prediction","Method"
37,78,0.197829779588476,"DRF"
55,60,0.103301746160879,"DRF"
58,59,0.118792196570112,"DRF"
50,80,0.113702155524552,"DRF"
66,32,0.053772300616778,"DRF"
65,38,0.0520134204695407,"DRF"
72,59,0.168496716740202,"DRF"
56,61,0.0758508840266345,"DRF"
53,59,0.0789312462934652,"DRF"
90,32,0.111898131674372,"DRF"
6,88,0.724943989857266,"DRF"
65,34,0.0650994991827128,"DRF"
50,64,0.0707234775103688,"DRF"
45,64,0.0862904862580439,"DRF"
68,32,0.0636684346637172,"DRF"
68,33,0.0818195675307637,"DRF"
71,35,0.0421440114015698,"DRF"
52,57,0.127562374002777,"DRF"
51,77,0.0636935489267335,"DRF"
52,66,0.0606165451303449,"DRF"
56,62,0.0695298432251794,"DRF"
93,29,0.119972489904448,"DRF"
70,38,0.0807986604063482,"DRF"
81,43,0.16156261731596,"DRF"
64,40,0.160880128770458,"DRF"
77,41,0.166232472428108,"DRF"
73,63,0.183767480146208,"DRF"
79,26,0.123474724927554,"DRF"
84,35,0.171032479991915,"DRF"
45,86,0.207764609609693,"DRF"
95,24,0.197395989119963,"DRF"
49,53,0.335963851069411,"DRF"
58,62,0.0834280504638024,"DRF"
54,66,0.0589315244143135,"DRF"
83,28,0.111567530645987,"DRF"
68,68,0.141549535061722,"DRF"
79,12,0.241130319152233,"DRF"
74,10,0.185131360162323,"DRF"
91,26,0.124771780984187,"DRF"
59,31,0.220619527887378,"DRF"
46,80,0.143483618007327,"DRF"
65,37,0.0770912739772208,"DRF"
95,29,0.137437507327135,"DRF"
70,12,0.165298172733515,"DRF"
78,50,0.160291259013537,"DRF"
77,34,0.116412595645845,"DRF"
89,30,0.117304895602422,"DRF"
59,98,0.204455360050529,"DRF"
61,32,0.167221516361233,"DRF"
56,97,0.260700471587354,"DRF"
53,73,0.0732314580132825,"DRF"
87,26,0.13456356515964,"DRF"
78,45,0.142978625408404,"DRF"
61,74,0.108523689002959,"DRF"
63,30,0.0920035909345014,"DRF"
40,67,0.132196534937826,"DRF"
