"X","Y","Prediction","Method"
37,78,0.0740740740740741,"Engression"
55,60,0.12962962962963,"Engression"
58,59,0.0888888888888889,"Engression"
50,80,0.133333333333333,"Engression"
66,32,0.0962962962962963,"Engression"
65,38,0.0814814814814815,"Engression"
72,59,0.114814814814815,"Engression"
56,61,0.0925925925925926,"Engression"
53,59,0.0740740740740741,"Engression"
90,32,0.162962962962963,"Engression"
6,88,0.9,"Engression"
65,34,0.244444444444444,"Engression"
50,64,0.118518518518519,"Engression"
45,64,0.0740740740740741,"Engression"
68,32,0.111111111111111,"Engression"
68,33,0.17037037037037,"Engression"
71,35,0.0666666666666667,"Engression"
52,57,0.0925925925925926,"Engression"
51,77,0.0333333333333333,"Engression"
52,66,0.107407407407407,"Engression"
56,62,0.0666666666666667,"Engression"
93,29,0.255555555555556,"Engression"
70,38,0.148148148148148,"Engression"
81,43,0.222222222222222,"Engression"
64,40,0.0444444444444444,"Engression"
77,41,0.222222222222222,"Engression"
73,63,0.392592592592593,"Engression"
79,26,0.237037037037037,"Engression"
84,35,0.237037037037037,"Engression"
45,86,0.359259259259259,"Engression"
95,24,0.296296296296296,"Engression"
49,53,0.255555555555556,"Engression"
58,62,0.0592592592592593,"Engression"
54,66,0.0592592592592593,"Engression"
83,28,0.296296296296296,"Engression"
68,68,0.118518518518519,"Engression"
79,12,0.218518518518519,"Engression"
74,10,0.285185185185185,"Engression"
91,26,0.218518518518519,"Engression"
59,31,0.140740740740741,"Engression"
46,80,0.166666666666667,"Engression"
65,37,0.17037037037037,"Engression"
95,29,0.196296296296296,"Engression"
70,12,0.222222222222222,"Engression"
78,50,0.1,"Engression"
77,34,0.151851851851852,"Engression"
89,30,0.248148148148148,"Engression"
59,98,0.233333333333333,"Engression"
61,32,0.140740740740741,"Engression"
56,97,0.196296296296296,"Engression"
53,73,0.114814814814815,"Engression"
87,26,0.244444444444444,"Engression"
78,45,0.174074074074074,"Engression"
61,74,0.159259259259259,"Engression"
63,30,0.144444444444444,"Engression"
40,67,0.159259259259259,"Engression"
57,58,0.166666666666667,"Engression"
44,62,0.107407407407407,"Engression"
46,43,0.181481481481481,"Engression"
56,41,0.148148148148148,"Engression"
58,86,0.174074074074074,"Engression"
77,39,0.144444444444444,"Engression"
61,72,0.125925925925926,"Engression"
86,29,0.3,"Engression"
66,66,0.0962962962962963,"Engression"
65,26,0.196296296296296,"Engression"
54,68,0.240740740740741,"Engression"
71,42,0.162962962962963,"Engression"
64,41,0.251851851851852,"Engression"
80,30,0.125925925925926,"Engression"
85,35,0.225925925925926,"Engression"
56,56,0.0703703703703704,"Engression"
53,55,0.0962962962962963,"Engression"
74,48,0.062962962962963,"Engression"
65,32,0.1,"Engression"
60,36,0.125925925925926,"Engression"
50,70,0.037037037037037,"Engression"
57,31,0.137037037037037,"Engression"
55,94,0.185185185185185,"Engression"
65,69,0.122222222222222,"Engression"
71,77,0.140740740740741,"Engression"
66,50,0.166666666666667,"Engression"
55,78,0.111111111111111,"Engression"
44,76,0.114814814814815,"Engression"
76,39,0.185185185185185,"Engression"
39,63,0.203703703703704,"Engression"
81,36,0.166666666666667,"Engression"
74,13,0.17037037037037,"Engression"
52,55,0.118518518518519,"Engression"
72,73,0.0925925925925926,"Engression"
68,31,0.0814814814814815,"Engression"
77,55,0.151851851851852,"Engression"
56,42,0.107407407407407,"Engression"
70,51,0.118518518518519,"Engression"
59,40,0.0666666666666667,"Engression"
58,35,0.207407407407407,"Engression"
64,70,0.118518518518519,"Engression"
70,52,0.0592592592592593,"Engression"
44,68,0.0888888888888889,"Engression"
64,83,0.0962962962962963,"Engression"
85,25,0.225925925925926,"Engression"
70,73,0.122222222222222,"Engression"
43,65,0.0777777777777778,"Engression"
82,22,0.196296296296296,"Engression"
72,75,0.1,"Engression"
70,36,0.0777777777777778,"Engression"
94,25,0.222222222222222,"Engression"
72,26,0.148148148148148,"Engression"
66,30,0.174074074074074,"Engression"
50,53,0.159259259259259,"Engression"
51,67,0.0814814814814815,"Engression"
76,46,0.122222222222222,"Engression"
77,37,0.177777777777778,"Engression"
44,84,0.151851851851852,"Engression"
84,23,0.166666666666667,"Engression"
63,55,0.0703703703703704,"Engression"
50,77,0.0555555555555556,"Engression"
63,42,0.122222222222222,"Engression"
67,23,0.0962962962962963,"Engression"
80,16,0.166666666666667,"Engression"
43,61,0.062962962962963,"Engression"
74,55,0.114814814814815,"Engression"
71,21,0.0592592592592593,"Engression"
78,28,0.181481481481481,"Engression"
63,64,0.107407407407407,"Engression"
71,31,0.12962962962963,"Engression"
42,72,0.1,"Engression"
85,33,0.196296296296296,"Engression"
77,45,0.177777777777778,"Engression"
45,61,0.0666666666666667,"Engression"
45,63,0.181481481481481,"Engression"
65,28,0.203703703703704,"Engression"
72,68,0.0666666666666667,"Engression"
87,33,0.181481481481481,"Engression"
62,93,0.0962962962962963,"Engression"
75,17,0.159259259259259,"Engression"
67,28,0.155555555555556,"Engression"
65,35,0.118518518518519,"Engression"
46,70,0.0444444444444444,"Engression"
97,14,0.359259259259259,"Engression"
76,65,0.240740740740741,"Engression"
82,35,0.140740740740741,"Engression"
64,39,0.0703703703703704,"Engression"
81,42,0.159259259259259,"Engression"
51,76,0.0555555555555556,"Engression"
78,4,0.425925925925926,"Engression"
43,68,0.151851851851852,"Engression"
56,55,0.0592592592592593,"Engression"
47,30,0.492592592592593,"Engression"
54,91,0.414814814814815,"Engression"
68,36,0.118518518518519,"Engression"
74,63,0.192592592592593,"Engression"
46,62,0.0851851851851852,"Engression"
44,64,0.162962962962963,"Engression"
65,24,0.062962962962963,"Engression"
88,22,0.207407407407407,"Engression"
71,19,0.111111111111111,"Engression"
81,4,0.374074074074074,"Engression"
72,17,0.166666666666667,"Engression"
76,32,0.151851851851852,"Engression"
82,46,0.203703703703704,"Engression"
53,87,0.192592592592593,"Engression"
35,35,0.911111111111111,"Engression"
44,82,0.166666666666667,"Engression"
42,68,0.174074074074074,"Engression"
56,84,0.203703703703704,"Engression"
79,36,0.118518518518519,"Engression"
71,66,0.103703703703704,"Engression"
58,49,0.0851851851851852,"Engression"
91,29,0.218518518518519,"Engression"
71,61,0.133333333333333,"Engression"
70,86,0.188888888888889,"Engression"
60,47,0.140740740740741,"Engression"
60,59,0.037037037037037,"Engression"
68,85,0.162962962962963,"Engression"
43,78,0.103703703703704,"Engression"
87,24,0.2,"Engression"
80,37,0.144444444444444,"Engression"
70,25,0.0333333333333333,"Engression"
54,83,0.1,"Engression"
60,45,0.107407407407407,"Engression"
38,79,0.274074074074074,"Engression"
50,57,0.0740740740740741,"Engression"
52,69,0.0296296296296296,"Engression"
75,16,0.148148148148148,"Engression"
75,25,0.148148148148148,"Engression"
70,77,0.0703703703703704,"Engression"
72,14,0.237037037037037,"Engression"
48,75,0.0888888888888889,"Engression"
61,33,0.0666666666666667,"Engression"
53,84,0.137037037037037,"Engression"
73,8,0.325925925925926,"Engression"
77,38,0.118518518518519,"Engression"
62,98,0.177777777777778,"Engression"
80,28,0.107407407407407,"Engression"
61,67,0.137037037037037,"Engression"
39,87,0.207407407407407,"Engression"
96,4,0.4,"Engression"
36,36,0.851851851851852,"Engression"
50,42,0.192592592592593,"Engression"
44,74,0.0888888888888889,"Engression"
61,68,0.133333333333333,"Engression"
70,71,0.062962962962963,"Engression"
62,96,0.214814814814815,"Engression"
