"X","Y","Prediction","Method"
37,78,0.0389749230695018,"MARS"
55,60,0.175212058318071,"MARS"
58,59,0.130623614784353,"MARS"
50,80,0.119786729491678,"MARS"
66,32,0.0551560002851524,"MARS"
65,38,0.0820995286899378,"MARS"
72,59,0.181190272413115,"MARS"
56,61,0.147444863382121,"MARS"
53,59,0.214733736557667,"MARS"
90,32,0.169907574584253,"MARS"
6,88,0.778763325592603,"MARS"
65,34,0.0716062855028725,"MARS"
50,64,0.167510021717464,"MARS"
45,64,0.319481128000055,"MARS"
68,32,0.0312063779342936,"MARS"
68,33,0.034435590378464,"MARS"
71,35,0.00254597515090191,"MARS"
52,57,0.23207429851192,"MARS"
51,77,0,"MARS"
52,66,0.113738254819832,"MARS"
56,62,0.129449200903765,"MARS"
93,29,0.221096702424928,"MARS"
70,38,0.0217848170692257,"MARS"
81,43,0.056288452461638,"MARS"
64,40,0.148564240802478,"MARS"
77,41,0.0661365385401215,"MARS"
73,63,0.209825098587091,"MARS"
79,26,0.13370843676686,"MARS"
84,35,0.163395901400187,"MARS"
45,86,0.337789502538863,"MARS"
95,24,0.302690680980919,"MARS"
49,53,0.404554617629715,"MARS"
58,62,0.105499578552908,"MARS"
54,66,0.0895683045971895,"MARS"
83,28,0.146791618599415,"MARS"
68,68,0,"MARS"
79,12,0.258792810685498,"MARS"
74,10,0.228875321448189,"MARS"
91,26,0.183970784660035,"MARS"
59,31,0.158003581119105,"MARS"
46,80,0.167685974193396,"MARS"
65,37,0.0788703162457674,"MARS"
95,29,0.248755310729095,"MARS"
70,12,0.0668232121070993,"MARS"
78,50,0.039589216435966,"MARS"
77,34,0,"MARS"
89,30,0.167246075286498,"MARS"
59,98,0.253104226410116,"MARS"
61,32,0.136622187597067,"MARS"
56,97,0.229583618265082,"MARS"
53,73,0.0573151188557618,"MARS"
87,26,0.195870738191191,"MARS"
78,45,0.0210386370219447,"MARS"
61,74,0,"MARS"
63,30,0.0575216806937469,"MARS"
40,67,0.327351147288187,"MARS"
57,58,0.15817048184852,"MARS"
44,62,0.360837427978691,"MARS"
46,43,0.347799790422278,"MARS"
56,41,0.292996653483019,"MARS"
58,86,0.245571384331891,"MARS"
77,39,0,"MARS"
61,72,0.0495937244033589,"MARS"
86,29,0.192169727115185,"MARS"
66,66,0.0362221671687828,"MARS"
65,26,0.0909569689106657,"MARS"
54,68,0.0579835370761476,"MARS"
71,42,0.071859971078165,"MARS"
64,41,0.221434229975757,"MARS"
80,30,0.0890511909922502,"MARS"
