"X","Y","Prediction","Method"
37,78,0.0882378865416309,"Random Forest"
55,60,0.139817318669804,"Random Forest"
58,59,0.108977583021856,"Random Forest"
50,80,0.132777834394852,"Random Forest"
66,32,0.0912581475001399,"Random Forest"
65,38,0.0843022598780299,"Random Forest"
72,59,0.235241342759507,"Random Forest"
56,61,0.0776078192482703,"Random Forest"
53,59,0.0819340053690631,"Random Forest"
90,32,0.110675423349802,"Random Forest"
6,88,0.396471224367073,"Random Forest"
65,34,0.158845997032011,"Random Forest"
50,64,0.116013678897149,"Random Forest"
45,64,0.0894249044661865,"Random Forest"
68,32,0.134755354486103,"Random Forest"
68,33,0.152045752739541,"Random Forest"
71,35,0.108408884237082,"Random Forest"
52,57,0.103102822083252,"Random Forest"
51,77,0.0751431621542624,"Random Forest"
52,66,0.125531962255253,"Random Forest"
56,62,0.0798558122073075,"Random Forest"
93,29,0.149680971336898,"Random Forest"
70,38,0.150083139641406,"Random Forest"
81,43,0.143524274159869,"Random Forest"
64,40,0.109320817880602,"Random Forest"
77,41,0.21669029173639,"Random Forest"
73,63,0.270073112005794,"Random Forest"
79,26,0.254017572287124,"Random Forest"
84,35,0.253723492104499,"Random Forest"
45,86,0.230920488031512,"Random Forest"
95,24,0.257274825332631,"Random Forest"
49,53,0.320094513416429,"Random Forest"
58,62,0.0818632632630938,"Random Forest"
54,66,0.0820593863485738,"Random Forest"
83,28,0.22969984308528,"Random Forest"
68,68,0.179263930228134,"Random Forest"
79,12,0.114132404046211,"Random Forest"
74,10,0.216746885677277,"Random Forest"
91,26,0.0928427345025756,"Random Forest"
59,31,0.135196613240941,"Random Forest"
46,80,0.203703690058949,"Random Forest"
65,37,0.155763337142638,"Random Forest"
95,29,0.178305201079727,"Random Forest"
70,12,0.161907242034123,"Random Forest"
78,50,0.144967977274176,"Random Forest"
77,34,0.158582871964726,"Random Forest"
89,30,0.126737513441143,"Random Forest"
59,98,0.101159783139082,"Random Forest"
61,32,0.164602380366172,"Random Forest"
56,97,0.211326300332582,"Random Forest"
53,73,0.137522002218183,"Random Forest"
87,26,0.231994688348983,"Random Forest"
78,45,0.128052439390219,"Random Forest"
61,74,0.215154458746236,"Random Forest"
63,30,0.156593874339451,"Random Forest"
40,67,0.215989628692341,"Random Forest"
57,58,0.212459993637606,"Random Forest"
44,62,0.202895654474267,"Random Forest"
46,43,0.370407812660955,"Random Forest"
56,41,0.176894967571142,"Random Forest"
58,86,0.186038068890659,"Random Forest"
77,39,0.159227781691372,"Random Forest"
61,72,0.123950756599044,"Random Forest"
86,29,0.209664065950796,"Random Forest"
66,66,0.119764338737547,"Random Forest"
65,26,0.197564523002939,"Random Forest"
54,68,0.16265321196881,"Random Forest"
71,42,0.230433079329989,"Random Forest"
64,41,0.262674556066759,"Random Forest"
80,30,0.091631168761967,"Random Forest"
85,35,0.155928338517206,"Random Forest"
56,56,0.105357022871873,"Random Forest"
53,55,0.172803282505079,"Random Forest"
74,48,0.216553147945261,"Random Forest"
65,32,0.0847629725953705,"Random Forest"
60,36,0.10182914294658,"Random Forest"
50,70,0.0783195049752361,"Random Forest"
57,31,0.169814917297007,"Random Forest"
55,94,0.254734183200689,"Random Forest"
65,69,0.123312543637568,"Random Forest"
71,77,0.193236907749709,"Random Forest"
66,50,0.251194319287612,"Random Forest"
55,78,0.140894141724597,"Random Forest"
44,76,0.16703263431177,"Random Forest"
76,39,0.127704898163602,"Random Forest"
39,63,0.19394449320346,"Random Forest"
81,36,0.188678597568772,"Random Forest"
74,13,0.0961098223552587,"Random Forest"
52,55,0.184760182422996,"Random Forest"
72,73,0.161196121352965,"Random Forest"
68,31,0.0862674808471252,"Random Forest"
77,55,0.13882524752274,"Random Forest"
56,42,0.11923633011375,"Random Forest"
70,51,0.191387194800308,"Random Forest"
59,40,0.100532354277977,"Random Forest"
58,35,0.188360853502445,"Random Forest"
64,70,0.129438341085995,"Random Forest"
70,52,0.157873867324968,"Random Forest"
44,68,0.0880755859633715,"Random Forest"
64,83,0.115165305963509,"Random Forest"
85,25,0.139477174921291,"Random Forest"
70,73,0.16637480651291,"Random Forest"
43,65,0.0867182509565794,"Random Forest"
82,22,0.146353968532473,"Random Forest"
72,75,0.15639477175187,"Random Forest"
70,36,0.0852520598758198,"Random Forest"
94,25,0.0957904797469463,"Random Forest"
72,26,0.140823546522672,"Random Forest"
66,30,0.140610054804812,"Random Forest"
50,53,0.265863137887013,"Random Forest"
51,67,0.0840967790259365,"Random Forest"
76,46,0.12233166820701,"Random Forest"
77,37,0.14689173989066,"Random Forest"
44,84,0.174295536680118,"Random Forest"
84,23,0.109352669717609,"Random Forest"
63,55,0.123994096499309,"Random Forest"
50,77,0.162022677378741,"Random Forest"
63,42,0.186755559638901,"Random Forest"
67,23,0.119304607439387,"Random Forest"
80,16,0.150706931771709,"Random Forest"
43,61,0.0972124367130193,"Random Forest"
74,55,0.155336809991422,"Random Forest"
71,21,0.119515893208652,"Random Forest"
78,28,0.136173885649838,"Random Forest"
63,64,0.125691919094412,"Random Forest"
71,31,0.147536474729759,"Random Forest"
42,72,0.142877301327863,"Random Forest"
85,33,0.133708950589948,"Random Forest"
77,45,0.136103212254494,"Random Forest"
45,61,0.118469634592772,"Random Forest"
45,63,0.193351243429581,"Random Forest"
65,28,0.139433340872698,"Random Forest"
72,68,0.163572524861354,"Random Forest"
87,33,0.122214618803678,"Random Forest"
62,93,0.0973403499580492,"Random Forest"
75,17,0.118571117471862,"Random Forest"
67,28,0.0829597203770304,"Random Forest"
65,35,0.155033755050276,"Random Forest"
46,70,0.0802361532461087,"Random Forest"
97,14,0.269401116419366,"Random Forest"
76,65,0.130863574907075,"Random Forest"
82,35,0.11147363919942,"Random Forest"
64,39,0.091421303081023,"Random Forest"
81,42,0.114570587317962,"Random Forest"
51,76,0.203060989564948,"Random Forest"
78,4,0.302645946270756,"Random Forest"
43,68,0.143948097431069,"Random Forest"
56,55,0.107328534081441,"Random Forest"
47,30,0.408558729910595,"Random Forest"
54,91,0.447070201690368,"Random Forest"
68,36,0.154390941897596,"Random Forest"
74,63,0.123670832314105,"Random Forest"
46,62,0.111887505834744,"Random Forest"
44,64,0.15002415525639,"Random Forest"
65,24,0.157845752975238,"Random Forest"
88,22,0.123830069566132,"Random Forest"
71,19,0.133930974545718,"Random Forest"
81,4,0.321349724414487,"Random Forest"
72,17,0.160803839824883,"Random Forest"
76,32,0.088144740447167,"Random Forest"
82,46,0.158924488491466,"Random Forest"
53,87,0.119141446135653,"Random Forest"
35,35,0.417614703678624,"Random Forest"
44,82,0.197082952718585,"Random Forest"
42,68,0.157154789829073,"Random Forest"
56,84,0.199429038288457,"Random Forest"
79,36,0.161950594855822,"Random Forest"
71,66,0.121100584958567,"Random Forest"
58,49,0.235473369071793,"Random Forest"
91,29,0.13831226690197,"Random Forest"
71,61,0.223663871092394,"Random Forest"
70,86,0.197798862197112,"Random Forest"
60,47,0.210543659206679,"Random Forest"
60,59,0.112678971121674,"Random Forest"
68,85,0.161864622530967,"Random Forest"
43,78,0.13434187032203,"Random Forest"
87,24,0.152572993568004,"Random Forest"
80,37,0.158726530867031,"Random Forest"
70,25,0.101488382394941,"Random Forest"
54,83,0.122180701604406,"Random Forest"
60,45,0.180301375104974,"Random Forest"
38,79,0.175542004076224,"Random Forest"
50,57,0.105476200401005,"Random Forest"
52,69,0.0728465008368141,"Random Forest"
75,16,0.129203390097178,"Random Forest"
75,25,0.185087247909444,"Random Forest"
70,77,0.152086639845205,"Random Forest"
72,14,0.157287725970185,"Random Forest"
48,75,0.159242310682165,"Random Forest"
61,33,0.192420882116469,"Random Forest"
53,84,0.131684148648708,"Random Forest"
73,8,0.182949870089444,"Random Forest"
77,38,0.181008491707161,"Random Forest"
62,98,0.0891013728272707,"Random Forest"
80,28,0.142159102694094,"Random Forest"
61,67,0.121014372668811,"Random Forest"
39,87,0.168522238752618,"Random Forest"
96,4,0.513476232001504,"Random Forest"
36,36,0.373332372496641,"Random Forest"
50,42,0.223322367253218,"Random Forest"
44,74,0.139263014747235,"Random Forest"
61,68,0.123498838461698,"Random Forest"
70,71,0.16404332666145,"Random Forest"
62,96,0.258434736651389,"Random Forest"
51,33,0.249640230377747,"Random Forest"
56,35,0.176170874018951,"Random Forest"
55,66,0.126691230088772,"Random Forest"
58,32,0.186100351774332,"Random Forest"
54,32,0.253201352594537,"Random Forest"
60,32,0.198408919846924,"Random Forest"
47,36,0.16626608061789,"Random Forest"
48,73,0.0667921429089544,"Random Forest"
60,67,0.12116461517337,"Random Forest"
83,22,0.15676094241765,"Random Forest"
73,21,0.153618055962126,"Random Forest"
58,73,0.12355308239544,"Random Forest"
81,45,0.161023237343212,"Random Forest"
52,82,0.184731650883454,"Random Forest"
92,9,0.358767549221876,"Random Forest"
76,40,0.107609854368058,"Random Forest"
52,75,0.0729975770862686,"Random Forest"
75,34,0.0925896765031268,"Random Forest"
66,43,0.167124700394795,"Random Forest"
73,72,0.15807947124031,"Random Forest"
73,68,0.155783283764229,"Random Forest"
65,95,0.110042170966982,"Random Forest"
52,44,0.136565102610036,"Random Forest"
40,64,0.183730385153378,"Random Forest"
58,41,0.182846007533287,"Random Forest"
35,77,0.380587221223998,"Random Forest"
81,44,0.140118789758534,"Random Forest"
68,30,0.157867893257394,"Random Forest"
64,67,0.146348512695758,"Random Forest"
74,62,0.123448610091883,"Random Forest"
70,62,0.161904003143991,"Random Forest"
34,70,0.569513005899787,"Random Forest"
70,58,0.164574953944013,"Random Forest"
42,71,0.121842847440438,"Random Forest"
51,78,0.156400254321745,"Random Forest"
64,69,0.129403780364465,"Random Forest"
66,27,0.118403654036056,"Random Forest"
66,14,0.269220497002761,"Random Forest"
62,85,0.184883006261099,"Random Forest"
59,74,0.132011241644579,"Random Forest"
60,75,0.172131462506626,"Random Forest"
54,56,0.193605892656283,"Random Forest"
23,89,0.574404823836401,"Random Forest"
58,61,0.157220695563213,"Random Forest"
33,81,0.46130421808319,"Random Forest"
41,89,0.419919771275858,"Random Forest"
59,52,0.217193863471942,"Random Forest"
40,83,0.216795346327669,"Random Forest"
33,72,0.545348708216797,"Random Forest"
59,28,0.212660235430712,"Random Forest"
62,82,0.170876628619077,"Random Forest"
47,35,0.310047627288402,"Random Forest"
66,62,0.143371661076926,"Random Forest"
86,26,0.19052318162535,"Random Forest"
61,69,0.148144532718917,"Random Forest"
38,87,0.23725586143704,"Random Forest"
79,1,0.407936551538626,"Random Forest"
39,64,0.243802285653076,"Random Forest"
74,42,0.166995045071217,"Random Forest"
54,79,0.141060465937884,"Random Forest"
96,24,0.244940101653854,"Random Forest"
61,83,0.172479057535697,"Random Forest"
93,28,0.130518806576248,"Random Forest"
57,93,0.187663005351474,"Random Forest"
64,49,0.218809763741326,"Random Forest"
39,73,0.141135615067511,"Random Forest"
74,30,0.11064054644288,"Random Forest"
84,42,0.17169724923075,"Random Forest"
46,61,0.185622724039546,"Random Forest"
77,53,0.198343227894481,"Random Forest"
74,7,0.288160234511071,"Random Forest"
88,31,0.154601211850286,"Random Forest"
43,76,0.100922545020161,"Random Forest"
80,17,0.198829088104229,"Random Forest"
90,16,0.409362740264769,"Random Forest"
64,98,0.169096548234398,"Random Forest"
64,32,0.207739298941368,"Random Forest"
76,42,0.16232270430358,"Random Forest"
54,76,0.140059538320132,"Random Forest"
69,67,0.150154410644901,"Random Forest"
58,67,0.148719163619493,"Random Forest"
77,64,0.32875606999876,"Random Forest"
73,45,0.235417851013216,"Random Forest"
39,72,0.259050291353107,"Random Forest"
73,56,0.268581230278588,"Random Forest"
70,66,0.200471969836618,"Random Forest"
42,41,0.384058904858114,"Random Forest"
31,71,0.448800407547767,"Random Forest"
94,23,0.218895246243956,"Random Forest"
47,61,0.208779074297213,"Random Forest"
69,88,0.242311361852966,"Random Forest"
51,84,0.194722296512637,"Random Forest"
69,70,0.210201097090286,"Random Forest"
43,79,0.18672898492972,"Random Forest"
49,90,0.512369927060923,"Random Forest"
52,54,0.194512187108798,"Random Forest"
49,92,0.683710088578308,"Random Forest"
65,64,0.212594802650242,"Random Forest"
67,43,0.273671029625246,"Random Forest"
65,61,0.246665813387817,"Random Forest"
81,47,0.208508760613785,"Random Forest"
76,64,0.281923087010001,"Random Forest"
36,92,0.640282928428103,"Random Forest"
28,96,0.79024886646334,"Random Forest"
36,89,0.516609872351248,"Random Forest"
77,10,0.24192558162471,"Random Forest"
67,8,0.232635213210473,"Random Forest"
54,58,0.211620253995401,"Random Forest"
51,68,0.164151568361254,"Random Forest"
61,28,0.275118092946227,"Random Forest"
59,55,0.203626074979454,"Random Forest"
61,39,0.169794191178787,"Random Forest"
58,89,0.256485570559361,"Random Forest"
59,38,0.221622223265428,"Random Forest"
51,71,0.116460666540667,"Random Forest"
37,82,0.194140534253964,"Random Forest"
61,55,0.246963517470149,"Random Forest"
71,4,0.483551394115575,"Random Forest"
40,86,0.219064013250137,"Random Forest"
74,45,0.183874573320762,"Random Forest"
72,77,0.185412492790366,"Random Forest"
98,11,0.570222402078557,"Random Forest"
62,12,0.308939554783568,"Random Forest"
45,70,0.208464577346367,"Random Forest"
63,77,0.174049368298363,"Random Forest"
71,15,0.200318406377926,"Random Forest"
62,28,0.214840936525753,"Random Forest"
68,34,0.201610650917331,"Random Forest"
55,87,0.222422383721812,"Random Forest"
64,42,0.19882801402806,"Random Forest"
45,44,0.3654064997382,"Random Forest"
56,95,0.350670647647362,"Random Forest"
78,47,0.160232776775944,"Random Forest"
37,88,0.435207897203194,"Random Forest"
65,89,0.295868715048108,"Random Forest"
77,52,0.300904792641398,"Random Forest"
91,27,0.158190358867877,"Random Forest"
69,58,0.283536089234397,"Random Forest"
64,64,0.167716511282607,"Random Forest"
66,80,0.161293162782036,"Random Forest"
71,64,0.133613038457508,"Random Forest"
46,86,0.316335658121171,"Random Forest"
60,74,0.15167849255404,"Random Forest"
66,11,0.295609975965312,"Random Forest"
42,74,0.167899939442688,"Random Forest"
82,25,0.253897764707505,"Random Forest"
69,80,0.165865215327354,"Random Forest"
46,71,0.157601676426279,"Random Forest"
92,15,0.417337464456963,"Random Forest"
87,21,0.192023241917559,"Random Forest"
55,56,0.250645656772645,"Random Forest"
74,12,0.244100920232817,"Random Forest"
70,15,0.238214571180873,"Random Forest"
57,91,0.400969812384602,"Random Forest"
74,32,0.147176638969337,"Random Forest"
51,83,0.205398061976942,"Random Forest"
56,48,0.256571141885274,"Random Forest"
37,76,0.169198329255317,"Random Forest"
73,6,0.412709115971099,"Random Forest"
78,17,0.258063450948956,"Random Forest"
69,57,0.297641764655821,"Random Forest"
51,85,0.206593291752596,"Random Forest"
37,80,0.204023799813745,"Random Forest"
61,37,0.25947818659931,"Random Forest"
64,80,0.1682187424333,"Random Forest"
72,20,0.158510689073919,"Random Forest"
42,70,0.0815997681496801,"Random Forest"
71,41,0.251210390324728,"Random Forest"
59,66,0.124963370126695,"Random Forest"
43,85,0.21037201715609,"Random Forest"
71,37,0.241073725542602,"Random Forest"
41,82,0.196784137985381,"Random Forest"
86,31,0.169856871665543,"Random Forest"
68,12,0.229234925711518,"Random Forest"
71,69,0.213389962725771,"Random Forest"
53,57,0.161206585385489,"Random Forest"
64,91,0.197366268424367,"Random Forest"
82,45,0.257596975346968,"Random Forest"
46,42,0.422814958960276,"Random Forest"
68,18,0.236177235907951,"Random Forest"
73,57,0.311227535067202,"Random Forest"
89,17,0.458464028874978,"Random Forest"
53,34,0.25897005280947,"Random Forest"
73,10,0.292625919351913,"Random Forest"
68,76,0.16898219961824,"Random Forest"
53,62,0.165197786240519,"Random Forest"
55,85,0.196444827465442,"Random Forest"
63,63,0.174207318673045,"Random Forest"
52,77,0.144116988759438,"Random Forest"
62,62,0.186410622825473,"Random Forest"
78,8,0.402179357073218,"Random Forest"
76,54,0.241927279646223,"Random Forest"
62,64,0.157857247997216,"Random Forest"
53,30,0.294689919682358,"Random Forest"
64,68,0.126734450847594,"Random Forest"
65,98,0.243196276671165,"Random Forest"
52,33,0.260989159937506,"Random Forest"
65,76,0.151863438465031,"Random Forest"
40,36,0.450931656830303,"Random Forest"
70,64,0.199768454215514,"Random Forest"
52,61,0.200096261862681,"Random Forest"
58,77,0.179342827302079,"Random Forest"
79,45,0.240851945000881,"Random Forest"
67,59,0.253239386112456,"Random Forest"
31,78,0.453926229010789,"Random Forest"
66,45,0.300583750842041,"Random Forest"
52,56,0.268665311180513,"Random Forest"
56,57,0.179998240122601,"Random Forest"
60,68,0.18372122596428,"Random Forest"
55,69,0.150681614582534,"Random Forest"
35,76,0.155135467589726,"Random Forest"
53,43,0.192004988564382,"Random Forest"
39,82,0.302943494925591,"Random Forest"
97,15,0.395698106079037,"Random Forest"
62,87,0.203233658118931,"Random Forest"
35,88,0.367607994657647,"Random Forest"
33,93,0.83250835821334,"Random Forest"
86,40,0.271703250727456,"Random Forest"
51,45,0.214080108392724,"Random Forest"
62,88,0.19063599872818,"Random Forest"
67,96,0.312181185719111,"Random Forest"
58,75,0.130053737860502,"Random Forest"
60,81,0.216289413460333,"Random Forest"
80,43,0.252554193215775,"Random Forest"
39,71,0.205940003048173,"Random Forest"
79,25,0.0878590350241572,"Random Forest"
61,64,0.122362474205555,"Random Forest"
53,90,0.537663581265742,"Random Forest"
74,51,0.174359646492369,"Random Forest"
70,54,0.192938593127815,"Random Forest"
81,30,0.140330886038314,"Random Forest"
64,60,0.150432894393449,"Random Forest"
67,62,0.117773082996116,"Random Forest"
54,38,0.20114950510432,"Random Forest"
45,82,0.138124650209662,"Random Forest"
81,21,0.139791163732798,"Random Forest"
75,22,0.102506874227867,"Random Forest"
81,25,0.0875512879459177,"Random Forest"
78,1,0.354705448565546,"Random Forest"
79,46,0.142980621870224,"Random Forest"
52,71,0.0718325636986834,"Random Forest"
54,40,0.28577427725481,"Random Forest"
67,75,0.157031345332243,"Random Forest"
38,91,0.699308444476879,"Random Forest"
83,46,0.153919630869532,"Random Forest"
73,42,0.22536282099665,"Random Forest"
43,88,0.287722441674318,"Random Forest"
66,22,0.236140147535,"Random Forest"
85,28,0.142576408230103,"Random Forest"
50,76,0.171816964378291,"Random Forest"
66,51,0.216191165754224,"Random Forest"
44,78,0.152503489820678,"Random Forest"
65,48,0.153306889884357,"Random Forest"
98,13,0.404426394441872,"Random Forest"
67,45,0.179376483083977,"Random Forest"
40,69,0.146718916563221,"Random Forest"
57,28,0.179042868983295,"Random Forest"
52,36,0.175665928088804,"Random Forest"
65,56,0.128933412542177,"Random Forest"
72,69,0.165679085571641,"Random Forest"
70,75,0.153952202400079,"Random Forest"
77,49,0.122915870973802,"Random Forest"
67,93,0.169833182156221,"Random Forest"
54,28,0.210784466658637,"Random Forest"
75,13,0.20216108837817,"Random Forest"
34,92,0.822087297425767,"Random Forest"
73,48,0.190417801799792,"Random Forest"
83,19,0.218031531213286,"Random Forest"
58,79,0.201033776276845,"Random Forest"
62,10,0.364098926500035,"Random Forest"
28,78,0.602506510957798,"Random Forest"
56,47,0.214433655555002,"Random Forest"
68,41,0.18698920607524,"Random Forest"
59,95,0.215949526988412,"Random Forest"
61,85,0.164925414707029,"Random Forest"
63,12,0.331424093821299,"Random Forest"
74,25,0.165274312577179,"Random Forest"
65,17,0.318830281607664,"Random Forest"
57,81,0.187300620678822,"Random Forest"
49,59,0.220915972815304,"Random Forest"
52,14,0.562261466121095,"Random Forest"
59,47,0.179569761636232,"Random Forest"
45,74,0.161628264012601,"Random Forest"
67,9,0.319126977347563,"Random Forest"
57,82,0.197626629081779,"Random Forest"
93,31,0.216634520485696,"Random Forest"
55,12,0.536463854639557,"Random Forest"
70,27,0.200658207643416,"Random Forest"
66,65,0.189807130215077,"Random Forest"
98,12,0.425790108396214,"Random Forest"
56,67,0.161268691418972,"Random Forest"
56,34,0.199380215686796,"Random Forest"
70,65,0.200471969836618,"Random Forest"
63,50,0.268656796768514,"Random Forest"
60,86,0.180831772770341,"Random Forest"
70,23,0.236367545564074,"Random Forest"
36,88,0.452413043065439,"Random Forest"
75,7,0.224190486461036,"Random Forest"
41,36,0.448691558563481,"Random Forest"
51,28,0.289489060928563,"Random Forest"
57,41,0.229845980516755,"Random Forest"
81,16,0.361844229151716,"Random Forest"
68,67,0.18230005396719,"Random Forest"
67,70,0.197208014821042,"Random Forest"
71,27,0.172992358790833,"Random Forest"
64,13,0.430058997809195,"Random Forest"
86,42,0.241211326203445,"Random Forest"
67,64,0.117811971885005,"Random Forest"
91,17,0.401800837224347,"Random Forest"
67,32,0.197745945034978,"Random Forest"
40,41,0.332800752215134,"Random Forest"
28,80,0.606325526457486,"Random Forest"
35,36,0.453421723461973,"Random Forest"
57,48,0.203065707026441,"Random Forest"
62,67,0.16782330390238,"Random Forest"
32,76,0.366920248155861,"Random Forest"
73,51,0.171924223922785,"Random Forest"
51,41,0.22706508084684,"Random Forest"
57,45,0.242604831754725,"Random Forest"
66,95,0.229226603137726,"Random Forest"
61,63,0.146189039410483,"Random Forest"
65,92,0.209102189463845,"Random Forest"
50,86,0.199604945303468,"Random Forest"
80,48,0.253600315550952,"Random Forest"
78,18,0.195846567337469,"Random Forest"
50,58,0.203939271439389,"Random Forest"
74,27,0.17804984510125,"Random Forest"
63,84,0.175726227901156,"Random Forest"
67,88,0.20530136342286,"Random Forest"
82,29,0.235166214073828,"Random Forest"
49,44,0.294720476702732,"Random Forest"
74,31,0.178274822832181,"Random Forest"
85,22,0.166972833204635,"Random Forest"
32,74,0.293889579430936,"Random Forest"
84,25,0.156912279883937,"Random Forest"
63,39,0.163404444436123,"Random Forest"
32,40,0.471581446627775,"Random Forest"
46,68,0.21661107635173,"Random Forest"
63,72,0.151160475150297,"Random Forest"
46,77,0.0746186255667959,"Random Forest"
47,66,0.300896682559906,"Random Forest"
