"X","Y","Prediction","Method"
30,100,0.890563134222022,"ASS"
64,100,0.890562795682192,"ASS"
55,10,0.890562660303293,"ASS"
63,10,0.890562524967037,"ASS"
67,10,0.890562389677508,"ASS"
70,10,0.890562288240431,"ASS"
73,10,0.890562186828642,"ASS"
79,10,0.890561984081117,"ASS"
97,10,0.890561916524038,"ASS"
53,11,0.890561781455814,"ASS"
55,11,0.890561713947307,"ASS"
56,11,0.890561680200032,"ASS"
63,11,0.890561477820107,"ASS"
64,11,0.890561444106248,"ASS"
66,11,0.890561376690244,"ASS"
70,11,0.890561241898283,"ASS"
75,11,0.890561073463309,"ASS"
76,11,0.890561039780904,"ASS"
79,11,0.890560938734672,"ASS"
52,12,0.89056066919353,"ASS"
58,12,0.890560466835798,"ASS"
64,12,0.890560298028539,"ASS"
69,12,0.890560129074573,"ASS"
79,12,0.890559790802481,"ASS"
99,12,0.890559553849468,"ASS"
65,13,0.890559046400287,"ASS"
67,13,0.89055897885599,"ASS"
68,13,0.890558945101178,"ASS"
69,13,0.89055891135955,"ASS"
79,13,0.890558574936331,"ASS"
82,13,0.890558474472291,"ASS"
54,14,0.890558174816063,"ASS"
56,14,0.890558108633236,"ASS"
58,14,0.890558042616704,"ASS"
64,14,0.890557845648431,"ASS"
65,14,0.890557812989008,"ASS"
69,14,0.890557682871219,"ASS"
72,14,0.890557585857891,"ASS"
75,14,0.89055748936869,"ASS"
92,14,0.890557234886703,"ASS"
98,14,0.890557140623872,"ASS"
100,15,0.890557078166844,"ASS"
62,15,0.890556770925106,"ASS"
63,15,0.890556740696675,"ASS"
67,15,0.890556620754325,"ASS"
68,15,0.890556591018583,"ASS"
92,15,0.890556157902775,"ASS"
95,15,0.89055612993462,"ASS"
97,15,0.890556074355612,"ASS"
56,16,0.890555856929711,"ASS"
60,16,0.890555751246716,"ASS"
61,16,0.890555725150862,"ASS"
71,16,0.890555471464871,"ASS"
74,16,0.890555397955466,"ASS"
77,16,0.890555325653678,"ASS"
81,16,0.890555231141783,"ASS"
93,16,0.890555138810108,"ASS"
99,16,0.89055502649462,"ASS"
56,17,0.890554896317392,"ASS"
61,17,0.890554791719553,"ASS"
64,17,0.890554730673679,"ASS"
69,17,0.890554631813217,"ASS"
75,17,0.890554517960953,"ASS"
82,17,0.890554391725849,"ASS"
84,17,0.890554356962297,"ASS"
86,17,0.89055432277673,"ASS"
88,17,0.890554289167659,"ASS"
89,17,0.890554272578844,"ASS"
90,17,0.890554256133595,"ASS"
91,17,0.890554239831726,"ASS"
59,18,0.890554099535939,"ASS"
74,18,0.890553891038044,"ASS"
77,18,0.89055385307364,"ASS"
80,18,0.890553816337781,"ASS"
84,18,0.890553769255628,"ASS"
89,18,0.890553746523746,"ASS"
99,18,0.890553660948445,"ASS"
59,19,0.890553631053645,"ASS"
62,19,0.890553602350089,"ASS"
63,19,0.890553593046231,"ASS"
65,19,0.890553574833635,"ASS"
72,19,0.890553515252783,"ASS"
74,19,0.89055349942626,"ASS"
78,19,0.890553469379908,"ASS"
80,19,0.890553455163555,"ASS"
81,19,0.890553448257923,"ASS"
83,19,0.890553434853206,"ASS"
85,19,0.890553421992511,"ASS"
88,19,0.890553415766908,"ASS"
78,1,0.890553351822864,"ASS"
79,1,0.890553347402215,"ASS"
88,1,0.890553338988544,"ASS"
89,20,0.89055328565135,"ASS"
93,20,0.890553289772332,"ASS"
94,20,0.890553291253628,"ASS"
97,20,0.890553292918129,"ASS"
99,20,0.890553296802307,"ASS"
64,21,0.890553306832272,"ASS"
70,21,0.890553327740726,"ASS"
82,21,0.890553392112638,"ASS"
85,21,0.890553413203597,"ASS"
89,21,0.890553444613942,"ASS"
94,21,0.89055348934589,"ASS"
71,22,0.890553648551761,"ASS"
72,22,0.890553661906815,"ASS"
84,22,0.89055384363597,"ASS"
88,22,0.89055391321921,"ASS"
67,23,0.890554215908454,"ASS"
77,23,0.890554455691996,"ASS"
79,23,0.890554507418927,"ASS"
80,23,0.890554533761104,"ASS"
83,23,0.890554614716067,"ASS"
86,23,0.890554698587077,"ASS"
91,23,0.890554844933823,"ASS"
92,23,0.890554875197448,"ASS"
96,23,0.890554999603277,"ASS"
65,24,0.890555441602436,"ASS"
68,24,0.890555551933851,"ASS"
74,24,0.890555782185797,"ASS"
75,24,0.890555821819902,"ASS"
81,24,0.890556067300188,"ASS"
89,24,0.89055641546775,"ASS"
49,25,0.890556934478231,"ASS"
62,25,0.890557610797173,"ASS"
69,25,0.890558004552922,"ASS"
71,25,0.890558120991586,"ASS"
72,25,0.890558179877588,"ASS"
76,25,0.890558419915053,"ASS"
78,25,0.890558542658939,"ASS"
82,25,0.890558793673953,"ASS"
83,25,0.890558857590061,"ASS"
85,25,0.890558986830117,"ASS"
86,25,0.890559052157784,"ASS"
87,25,0.890559117959689,"ASS"
90,25,0.890559318229426,"ASS"
93,25,0.890559522834288,"ASS"
96,25,0.890559731827493,"ASS"
49,26,0.890560017411403,"ASS"
59,26,0.890560766857779,"ASS"
65,26,0.890561241547076,"ASS"
69,26,0.890561568717438,"ASS"
71,26,0.890561735567159,"ASS"
73,26,0.890561904615881,"ASS"
75,26,0.890562075879928,"ASS"
77,26,0.890562249375465,"ASS"
83,26,0.890562783412696,"ASS"
85,26,0.89056296599587,"ASS"
86,26,0.89056305815357,"ASS"
90,26,0.890563432597562,"ASS"
91,26,0.890563527668318,"ASS"
54,27,0.89056492081069,"ASS"
56,27,0.890565129415315,"ASS"
57,27,0.890565234626438,"ASS"
67,27,0.890566320341747,"ASS"
68,27,0.890566432299427,"ASS"
72,27,0.890566886340755,"ASS"
73,27,0.890567001408743,"ASS"
77,27,0.890567467941331,"ASS"
84,27,0.890568308631842,"ASS"
85,27,0.890568431267914,"ASS"
87,27,0.890568678454981,"ASS"
92,27,0.890569307649482,"ASS"
53,28,0.89057074897389,"ASS"
60,28,0.890571707657497,"ASS"
62,28,0.890571987568102,"ASS"
66,28,0.890572555456035,"ASS"
77,28,0.890574173185695,"ASS"
78,28,0.890574324367183,"ASS"
79,28,0.890574476240274,"ASS"
88,28,0.890575874489044,"ASS"
90,28,0.890576192956016,"ASS"
91,28,0.890576353255417,"ASS"
92,28,0.890576514267599,"ASS"
95,28,0.890577001595949,"ASS"
48,29,0.890577330071808,"ASS"
49,29,0.890577495390928,"ASS"
54,29,0.89057833285316,"ASS"
63,29,0.890579886359941,"ASS"
65,29,0.890580239714148,"ASS"
68,29,0.890580775343302,"ASS"
69,29,0.890580955385356,"ASS"
71,29,0.890581317727337,"ASS"
76,29,0.890582236825965,"ASS"
78,29,0.890582609795003,"ASS"
81,29,0.89058317499599,"ASS"
87,29,0.890584326235248,"ASS"
91,29,0.890585109291954,"ASS"
93,29,0.890585505528507,"ASS"
80,2,0.89058691733312,"ASS"
81,2,0.890587122216543,"ASS"
53,30,0.890589429524591,"ASS"
