"X","Y","Prediction","Method"
30,100,0.889800942252335,"UnifDR"
64,100,0.889812264891698,"UnifDR"
55,10,0.889816793947443,"UnifDR"
63,10,0.889821323003188,"UnifDR"
67,10,0.889825852058933,"UnifDR"
70,10,0.889829248850742,"UnifDR"
73,10,0.889832645642551,"UnifDR"
79,10,0.889839439226168,"UnifDR"
97,10,0.889841703754041,"UnifDR"
53,11,0.889846232809786,"UnifDR"
55,11,0.889848497337659,"UnifDR"
56,11,0.889849629601595,"UnifDR"
63,11,0.889856423185213,"UnifDR"
64,11,0.889857555449149,"UnifDR"
66,11,0.889859819977021,"UnifDR"
70,11,0.889864349032767,"UnifDR"
75,11,0.889870010352448,"UnifDR"
76,11,0.889871142616384,"UnifDR"
79,11,0.889874539408193,"UnifDR"
52,12,0.889883597519683,"UnifDR"
58,12,0.889890391103301,"UnifDR"
64,12,0.889896052422982,"UnifDR"
69,12,0.889901713742664,"UnifDR"
79,12,0.889913036382026,"UnifDR"
99,12,0.88992096222958,"UnifDR"
65,13,0.889937946188625,"UnifDR"
67,13,0.889940210716497,"UnifDR"
68,13,0.889941342980433,"UnifDR"
69,13,0.88994247524437,"UnifDR"
79,13,0.889953797883732,"UnifDR"
82,13,0.889957194675541,"UnifDR"
54,14,0.889967385050968,"UnifDR"
56,14,0.88996964957884,"UnifDR"
58,14,0.889971914106713,"UnifDR"
64,14,0.88997870769033,"UnifDR"
65,14,0.889979839954267,"UnifDR"
69,14,0.889984369010012,"UnifDR"
72,14,0.889987765801821,"UnifDR"
75,14,0.88999116259363,"UnifDR"
92,14,0.89000022070512,"UnifDR"
98,14,0.890003617496929,"UnifDR"
100,15,0.890005882024801,"UnifDR"
62,15,0.890017204664164,"UnifDR"
63,15,0.8900183369281,"UnifDR"
67,15,0.890022865983845,"UnifDR"
68,15,0.890023998247782,"UnifDR"
92,15,0.890040982206826,"UnifDR"
95,15,0.890042114470762,"UnifDR"
97,15,0.890044378998635,"UnifDR"
56,16,0.890053437110125,"UnifDR"
60,16,0.89005796616587,"UnifDR"
61,16,0.890059098429806,"UnifDR"
71,16,0.890070421069169,"UnifDR"
74,16,0.890073817860978,"UnifDR"
77,16,0.890077214652787,"UnifDR"
81,16,0.890081743708532,"UnifDR"
93,16,0.890086272764277,"UnifDR"
99,16,0.890091934083958,"UnifDR"
56,17,0.890098727667576,"UnifDR"
61,17,0.890104388987257,"UnifDR"
64,17,0.890107785779066,"UnifDR"
69,17,0.890113447098747,"UnifDR"
75,17,0.890120240682365,"UnifDR"
82,17,0.890128166529919,"UnifDR"
84,17,0.890130431057792,"UnifDR"
86,17,0.890132695585664,"UnifDR"
88,17,0.890134960113537,"UnifDR"
89,17,0.890136092377473,"UnifDR"
90,17,0.890137224641409,"UnifDR"
91,17,0.890138356905345,"UnifDR"
59,18,0.890148547280772,"UnifDR"
74,18,0.890165531239816,"UnifDR"
77,18,0.890168928031625,"UnifDR"
80,18,0.890172324823434,"UnifDR"
84,18,0.890176853879179,"UnifDR"
89,18,0.890179118407051,"UnifDR"
99,18,0.890188176518542,"UnifDR"
59,19,0.89019157331035,"UnifDR"
62,19,0.890194970102159,"UnifDR"
63,19,0.890196102366096,"UnifDR"
65,19,0.890198366893968,"UnifDR"
72,19,0.890206292741522,"UnifDR"
74,19,0.890208557269395,"UnifDR"
78,19,0.89021308632514,"UnifDR"
80,19,0.890215350853012,"UnifDR"
81,19,0.890216483116949,"UnifDR"
83,19,0.890218747644821,"UnifDR"
85,19,0.890221012172694,"UnifDR"
88,19,0.89022214443663,"UnifDR"
78,1,0.890235731603865,"UnifDR"
79,1,0.890236863867802,"UnifDR"
88,1,0.890239128395674,"UnifDR"
89,20,0.890273096313762,"UnifDR"
93,20,0.890277625369507,"UnifDR"
94,20,0.890278757633444,"UnifDR"
97,20,0.89027988989738,"UnifDR"
99,20,0.890282154425253,"UnifDR"
64,21,0.890286683480998,"UnifDR"
70,21,0.890293477064615,"UnifDR"
82,21,0.890307064231851,"UnifDR"
85,21,0.89031046102366,"UnifDR"
89,21,0.890314990079405,"UnifDR"
94,21,0.890320651399086,"UnifDR"
71,22,0.890336503094194,"UnifDR"
72,22,0.89033763535813,"UnifDR"
84,22,0.890351222525365,"UnifDR"
88,22,0.890355751581111,"UnifDR"
67,23,0.890372735540155,"UnifDR"
77,23,0.890384058179517,"UnifDR"
79,23,0.89038632270739,"UnifDR"
80,23,0.890387454971326,"UnifDR"
83,23,0.890390851763135,"UnifDR"
86,23,0.890394248554944,"UnifDR"
91,23,0.890399909874625,"UnifDR"
92,23,0.890401042138562,"UnifDR"
96,23,0.890405571194307,"UnifDR"
65,24,0.890420290625478,"UnifDR"
68,24,0.890423687417287,"UnifDR"
74,24,0.890430481000905,"UnifDR"
75,24,0.890431613264841,"UnifDR"
81,24,0.890438406848459,"UnifDR"
89,24,0.890447464959949,"UnifDR"
49,25,0.890459919863248,"UnifDR"
62,25,0.89047463929442,"UnifDR"
69,25,0.890482565141974,"UnifDR"
71,25,0.890484829669846,"UnifDR"
72,25,0.890485961933782,"UnifDR"
76,25,0.890490490989527,"UnifDR"
78,25,0.8904927555174,"UnifDR"
82,25,0.890497284573145,"UnifDR"
83,25,0.890498416837081,"UnifDR"
85,25,0.890500681364954,"UnifDR"
86,25,0.89050181362889,"UnifDR"
87,25,0.890502945892827,"UnifDR"
90,25,0.890506342684635,"UnifDR"
93,25,0.890509739476444,"UnifDR"
96,25,0.890513136268253,"UnifDR"
49,26,0.890517665323998,"UnifDR"
59,26,0.890528987963361,"UnifDR"
65,26,0.890535781546979,"UnifDR"
69,26,0.890540310602724,"UnifDR"
71,26,0.890542575130596,"UnifDR"
73,26,0.890544839658469,"UnifDR"
75,26,0.890547104186341,"UnifDR"
77,26,0.890549368714214,"UnifDR"
83,26,0.890556162297832,"UnifDR"
85,26,0.890558426825704,"UnifDR"
86,26,0.89055955908964,"UnifDR"
90,26,0.890564088145385,"UnifDR"
91,26,0.890565220409322,"UnifDR"
54,27,0.89058107210443,"UnifDR"
56,27,0.890583336632302,"UnifDR"
57,27,0.890584468896238,"UnifDR"
67,27,0.890595791535601,"UnifDR"
68,27,0.890596923799537,"UnifDR"
72,27,0.890601452855283,"UnifDR"
73,27,0.890602585119219,"UnifDR"
77,27,0.890607114174964,"UnifDR"
84,27,0.890615040022518,"UnifDR"
85,27,0.890616172286454,"UnifDR"
87,27,0.890618436814327,"UnifDR"
92,27,0.890624098134008,"UnifDR"
53,28,0.890636553037307,"UnifDR"
60,28,0.890644478884861,"UnifDR"
62,28,0.890646743412734,"UnifDR"
66,28,0.890651272468479,"UnifDR"
77,28,0.890663727371778,"UnifDR"
78,28,0.890664859635714,"UnifDR"
79,28,0.89066599189965,"UnifDR"
88,28,0.890676182275077,"UnifDR"
90,28,0.890678446802949,"UnifDR"
91,28,0.890679579066886,"UnifDR"
92,28,0.890680711330822,"UnifDR"
95,28,0.890684108122631,"UnifDR"
48,29,0.890686372650503,"UnifDR"
49,29,0.89068750491444,"UnifDR"
54,29,0.890693166234121,"UnifDR"
63,29,0.890703356609547,"UnifDR"
65,29,0.89070562113742,"UnifDR"
68,29,0.890709017929229,"UnifDR"
69,29,0.890710150193165,"UnifDR"
71,29,0.890712414721038,"UnifDR"
76,29,0.890718076040719,"UnifDR"
78,29,0.890720340568592,"UnifDR"
81,29,0.8907237373604,"UnifDR"
87,29,0.890730530944018,"UnifDR"
91,29,0.890735059999763,"UnifDR"
93,29,0.890737324527636,"UnifDR"
80,2,0.89074525037519,"UnifDR"
81,2,0.890746382639126,"UnifDR"
53,30,0.890758837542425,"UnifDR"
56,30,0.890762234334234,"UnifDR"
60,30,0.890764498862106,"UnifDR"
61,30,0.890765631126043,"UnifDR"
64,30,0.890769027917852,"UnifDR"
69,30,0.890774689237533,"UnifDR"
70,30,0.890775821501469,"UnifDR"
72,30,0.890778086029342,"UnifDR"
73,30,0.890779218293278,"UnifDR"
79,30,0.890786011876896,"UnifDR"
82,30,0.890789408668704,"UnifDR"
86,30,0.89079393772445,"UnifDR"
87,30,0.890795069988386,"UnifDR"
92,30,0.890800731308067,"UnifDR"
94,30,0.89080299583594,"UnifDR"
49,31,0.890806392627749,"UnifDR"
53,31,0.890807524891685,"UnifDR"
65,31,0.89082111205892,"UnifDR"
66,31,0.890822244322857,"UnifDR"
89,31,0.890848286393391,"UnifDR"
92,31,0.8908516831852,"UnifDR"
49,32,0.890857344504881,"UnifDR"
53,32,0.89086074129669,"UnifDR"
54,32,0.890861873560626,"UnifDR"
58,32,0.890866402616371,"UnifDR"
59,32,0.890867534880308,"UnifDR"
64,32,0.890873196199989,"UnifDR"
65,32,0.890874328463925,"UnifDR"
66,32,0.890875460727862,"UnifDR"
70,32,0.890879989783607,"UnifDR"
75,32,0.890885651103288,"UnifDR"
77,32,0.89088791563116,"UnifDR"
83,32,0.890894709214778,"UnifDR"
86,32,0.890898106006587,"UnifDR"
87,32,0.890899238270523,"UnifDR"
89,32,0.890901502798396,"UnifDR"
91,32,0.890903767326268,"UnifDR"
49,33,0.890906031854141,"UnifDR"
54,33,0.890911693173822,"UnifDR"
58,33,0.890913957701695,"UnifDR"
61,33,0.890917354493504,"UnifDR"
63,33,0.890919619021376,"UnifDR"
65,33,0.890921883549249,"UnifDR"
66,33,0.890923015813185,"UnifDR"
69,33,0.890926412604994,"UnifDR"
72,33,0.890929809396803,"UnifDR"
84,33,0.890942264300102,"UnifDR"
89,33,0.890947925619783,"UnifDR"
48,34,0.890952454675528,"UnifDR"
51,34,0.890955851467337,"UnifDR"
52,34,0.890956983731273,"UnifDR"
55,34,0.890960380523082,"UnifDR"
57,34,0.890962645050955,"UnifDR"
59,34,0.890964909578827,"UnifDR"
60,34,0.890966041842764,"UnifDR"
64,34,0.890970570898509,"UnifDR"
75,34,0.890983025801808,"UnifDR"
77,34,0.89098529032968,"UnifDR"
85,34,0.890992083913298,"UnifDR"
86,34,0.890993216177234,"UnifDR"
87,34,0.89099434844117,"UnifDR"
42,35,0.891010200136278,"UnifDR"
43,35,0.891011332400215,"UnifDR"
45,35,0.891013596928087,"UnifDR"
47,35,0.89101586145596,"UnifDR"
48,35,0.891016993719896,"UnifDR"
52,35,0.891021522775641,"UnifDR"
57,35,0.891027184095323,"UnifDR"
72,35,0.891044168054367,"UnifDR"
75,35,0.891047564846176,"UnifDR"
77,35,0.891049829374048,"UnifDR"
79,35,0.891052093901921,"UnifDR"
81,35,0.891054358429793,"UnifDR"
86,35,0.891060019749475,"UnifDR"
87,35,0.891061152013411,"UnifDR"
90,35,0.89106454880522,"UnifDR"
33,36,0.891066813333092,"UnifDR"
38,36,0.891072474652774,"UnifDR"
42,36,0.891077003708519,"UnifDR"
50,36,0.891086061820009,"UnifDR"
52,36,0.891088326347881,"UnifDR"
53,36,0.891089458611818,"UnifDR"
54,36,0.891090590875754,"UnifDR"
58,36,0.891095119931499,"UnifDR"
61,36,0.891098516723308,"UnifDR"
63,36,0.89110078125118,"UnifDR"
69,36,0.891107574834798,"UnifDR"
71,36,0.891109839362671,"UnifDR"
81,36,0.891121162002034,"UnifDR"
82,36,0.89112229426597,"UnifDR"
86,36,0.891126823321715,"UnifDR"
34,37,0.891133616905333,"UnifDR"
38,37,0.891138145961078,"UnifDR"
41,37,0.891141542752886,"UnifDR"
47,37,0.891143807280759,"UnifDR"
48,37,0.891144939544695,"UnifDR"
49,37,0.891146071808632,"UnifDR"
54,37,0.891151733128313,"UnifDR"
57,37,0.891155129920122,"UnifDR"
69,37,0.891167584823421,"UnifDR"
70,37,0.891168717087357,"UnifDR"
75,37,0.891174378407039,"UnifDR"
83,37,0.891183436518529,"UnifDR"
84,37,0.891184568782465,"UnifDR"
86,37,0.891186833310338,"UnifDR"
34,38,0.891191362366083,"UnifDR"
35,38,0.891192494630019,"UnifDR"
36,38,0.891193626893955,"UnifDR"
47,38,0.891203817269382,"UnifDR"
57,38,0.891215139908744,"UnifDR"
59,38,0.891217404436617,"UnifDR"
62,38,0.891220801228426,"UnifDR"
75,38,0.891235520659597,"UnifDR"
80,38,0.891241181979279,"UnifDR"
85,38,0.89124684329896,"UnifDR"
32,39,0.891249107826833,"UnifDR"
33,39,0.891250240090769,"UnifDR"
42,39,0.891260430466196,"UnifDR"
46,39,0.891261562730132,"UnifDR"
52,39,0.89126835631375,"UnifDR"
53,39,0.891269488577686,"UnifDR"
59,39,0.891276282161303,"UnifDR"
63,39,0.891280811217048,"UnifDR"
64,39,0.891281943480985,"UnifDR"
66,39,0.891284208008857,"UnifDR"
67,39,0.891285340272794,"UnifDR"
72,39,0.891291001592475,"UnifDR"
73,39,0.891292133856411,"UnifDR"
74,39,0.891293266120348,"UnifDR"
85,39,0.89130458875971,"UnifDR"
86,39,0.891305721023647,"UnifDR"
77,3,0.891307985551519,"UnifDR"
94,3,0.891320440454818,"UnifDR"
95,3,0.891321572718754,"UnifDR"
36,40,0.891330630830245,"UnifDR"
38,40,0.891332895358117,"UnifDR"
39,40,0.891334027622053,"UnifDR"
42,40,0.891337424413862,"UnifDR"
50,40,0.891346482525353,"UnifDR"
