"X","Y","Prediction","Method"
46,100,0.958210928215881,"ASS"
98,100,0.958221961870231,"ASS"
103,101,0.958222881524775,"ASS"
45,101,0.958224721013067,"ASS"
49,101,0.95822840109619,"ASS"
67,101,0.958232083397038,"ASS"
95,101,0.958236690747205,"ASS"
45,102,0.958239458189188,"ASS"
48,102,0.958242228325814,"ASS"
74,102,0.958252413572896,"ASS"
123,103,0.958263578669682,"ASS"
45,103,0.958268247891138,"ASS"
48,103,0.958271054772078,"ASS"
51,103,0.958273865906564,"ASS"
70,103,0.958277620843074,"ASS"
73,103,0.958279501219387,"ASS"
75,103,0.958281383541192,"ASS"
76,103,0.958282325433245,"ASS"
77,103,0.958283267813579,"ASS"
81,103,0.958286097892407,"ASS"
44,104,0.958296515831333,"ASS"
71,104,0.958307968073886,"ASS"
88,104,0.95831277166689,"ASS"
43,105,0.958318563782074,"ASS"
64,105,0.958326337643353,"ASS"
67,105,0.95832926905659,"ASS"
72,105,0.958333192499621,"ASS"
88,105,0.958335160905208,"ASS"
42,106,0.958342087469255,"ASS"
43,106,0.958343081810911,"ASS"
64,106,0.958351081106773,"ASS"
66,106,0.958352086671763,"ASS"
69,106,0.95835410164447,"ASS"
70,106,0.95835511107026,"ASS"
71,106,0.958356121801054,"ASS"
50,107,0.958371444929657,"ASS"
62,107,0.958372477484428,"ASS"
71,107,0.95837870170622,"ASS"
87,107,0.958381832237039,"ASS"
112,108,0.958383925786326,"ASS"
37,108,0.958386024329617,"ASS"
40,108,0.958389181078955,"ASS"
45,108,0.958391291248545,"ASS"
48,108,0.958394464513432,"ASS"
58,108,0.958396585055609,"ASS"
65,108,0.958398709367869,"ASS"
73,108,0.958407239929595,"ASS"
39,109,0.958414740364006,"ASS"
51,109,0.958422267910508,"ASS"
69,109,0.958428737087333,"ASS"
70,109,0.958429816464862,"ASS"
78,109,0.958433056182925,"ASS"
145,10,0.958438459685312,"ASS"
179,10,0.95844819172058,"ASS"
41,110,0.958454678805123,"ASS"
44,110,0.958455759662799,"ASS"
45,110,0.958456840405982,"ASS"
46,110,0.958457921026566,"ASS"
49,110,0.958461162071655,"ASS"
58,110,0.958466560606247,"ASS"
61,110,0.95846871874399,"ASS"
64,110,0.958469797533086,"ASS"
69,110,0.958475188694891,"ASS"
76,110,0.958479498305033,"ASS"
40,111,0.95848595740891,"ASS"
48,111,0.958492411458442,"ASS"
49,111,0.958493486769521,"ASS"
58,111,0.958498862358275,"ASS"
69,111,0.958509615123713,"ASS"
70,111,0.958510691005582,"ASS"
71,111,0.958511767071799,"ASS"
72,111,0.958512843347016,"ASS"
55,112,0.958533366110019,"ASS"
61,112,0.958537715187063,"ASS"
62,112,0.958538804652623,"ASS"
65,112,0.958542078881353,"ASS"
67,112,0.958544266955944,"ASS"
70,112,0.958546459606495,"ASS"
71,112,0.958547557747294,"ASS"
78,112,0.958549757859015,"ASS"
35,113,0.958551963343003,"ASS"
39,113,0.958554174517054,"ASS"
42,113,0.958557502600373,"ASS"
46,113,0.958561962670533,"ASS"
71,113,0.958576662569609,"ASS"
89,113,0.958578955223073,"ASS"
42,114,0.958585888879322,"ASS"
43,114,0.95858705297852,"ASS"
44,114,0.958588219596614,"ASS"
46,114,0.958590560529286,"ASS"
49,114,0.958594091693728,"ASS"
55,114,0.958595274159119,"ASS"
79,114,0.958603630799331,"ASS"
83,114,0.958607256944774,"ASS"
36,115,0.958609690173721,"ASS"
47,115,0.958622059556528,"ASS"
52,115,0.958627109402591,"ASS"
55,115,0.958630938170724,"ASS"
57,115,0.958632222590751,"ASS"
66,115,0.958637402535226,"ASS"
