"X","Y","Prediction","Method"
46,100,0.957608112540842,"UnifDR"
98,100,0.957640527630058,"UnifDR"
103,101,0.957643228887495,"UnifDR"
45,101,0.957648631402369,"UnifDR"
49,101,0.957659436432123,"UnifDR"
67,101,0.957670241461881,"UnifDR"
95,101,0.957683747749087,"UnifDR"
45,102,0.957691851521415,"UnifDR"
48,102,0.957699955293745,"UnifDR"
74,102,0.95772966912565,"UnifDR"
123,103,0.957762084215045,"UnifDR"
45,103,0.957775590502308,"UnifDR"
48,103,0.95778369427467,"UnifDR"
51,103,0.957791798047034,"UnifDR"
70,103,0.957802603076858,"UnifDR"
73,103,0.957808005591772,"UnifDR"
75,103,0.957813408106687,"UnifDR"
76,103,0.957816109364145,"UnifDR"
77,103,0.957818810621604,"UnifDR"
81,103,0.957826914393981,"UnifDR"
44,104,0.957856628226058,"UnifDR"
71,104,0.957889043315642,"UnifDR"
88,104,0.957902549602982,"UnifDR"
43,105,0.957918757147802,"UnifDR"
64,105,0.957940367207581,"UnifDR"
67,105,0.957948470980003,"UnifDR"
72,105,0.957959276009904,"UnifDR"
88,105,0.957964678524857,"UnifDR"
42,106,0.957983587327202,"UnifDR"
43,106,0.957986288584681,"UnifDR"
64,106,0.958007898644526,"UnifDR"
66,106,0.958010599902008,"UnifDR"
69,106,0.958016002416973,"UnifDR"
70,106,0.958018703674457,"UnifDR"
71,106,0.95802140493194,"UnifDR"
50,107,0.958061923794232,"UnifDR"
62,107,0.958064625051721,"UnifDR"
71,107,0.958080832596661,"UnifDR"
87,107,0.958088936369135,"UnifDR"
112,108,0.95809433888412,"UnifDR"
37,108,0.958099741399106,"UnifDR"
40,108,0.958107845171587,"UnifDR"
45,108,0.958113247686576,"UnifDR"
48,108,0.958121351459063,"UnifDR"
58,108,0.958126753974055,"UnifDR"
65,108,0.958132156489049,"UnifDR"
73,108,0.958153766549038,"UnifDR"
39,109,0.958172675351546,"UnifDR"
51,109,0.95819158415407,"UnifDR"
69,109,0.958207791699104,"UnifDR"
70,109,0.958210492956611,"UnifDR"
78,109,0.958218596729133,"UnifDR"
145,10,0.958232103016677,"UnifDR"
179,10,0.958256414334277,"UnifDR"
41,110,0.958272621879359,"UnifDR"
44,110,0.958275323136874,"UnifDR"
45,110,0.958278024394389,"UnifDR"
46,110,0.958280725651904,"UnifDR"
49,110,0.958288829424453,"UnifDR"
58,110,0.95830233571204,"UnifDR"
61,110,0.958307738227077,"UnifDR"
64,110,0.958310439484596,"UnifDR"
69,110,0.958323945772197,"UnifDR"
76,110,0.958334750802283,"UnifDR"
40,111,0.958350958347423,"UnifDR"
48,111,0.958367165892574,"UnifDR"
49,111,0.958369867150101,"UnifDR"
58,111,0.958383373437738,"UnifDR"
69,111,0.958410386013037,"UnifDR"
70,111,0.958413087270569,"UnifDR"
71,111,0.958415788528101,"UnifDR"
72,111,0.958418489785634,"UnifDR"
55,112,0.958469813678813,"UnifDR"
61,112,0.958480618708972,"UnifDR"
62,112,0.958483319966512,"UnifDR"
65,112,0.958491423739135,"UnifDR"
67,112,0.958496826254219,"UnifDR"
70,112,0.958502228769304,"UnifDR"
71,112,0.958504930026847,"UnifDR"
78,112,0.958510332541935,"UnifDR"
35,113,0.958515735057023,"UnifDR"
39,113,0.958521137572113,"UnifDR"
42,113,0.95852924134475,"UnifDR"
46,113,0.958540046374938,"UnifDR"
71,113,0.958575162723085,"UnifDR"
89,113,0.958580565238189,"UnifDR"
42,114,0.958596772783511,"UnifDR"
43,114,0.958599474041065,"UnifDR"
44,114,0.958602175298621,"UnifDR"
46,114,0.958607577813732,"UnifDR"
49,114,0.958615681586401,"UnifDR"
55,114,0.958618382843958,"UnifDR"
79,114,0.958637291646867,"UnifDR"
83,114,0.958645395419547,"UnifDR"
36,115,0.958650797934669,"UnifDR"
47,115,0.958677810510298,"UnifDR"
52,115,0.958688615540559,"UnifDR"
55,115,0.958696719313258,"UnifDR"
57,115,0.958699420570825,"UnifDR"
66,115,0.958710225601097,"UnifDR"
70,115,0.958712926858666,"UnifDR"
81,115,0.958721030631374,"UnifDR"
36,116,0.958734536919228,"UnifDR"
42,116,0.958750744464663,"UnifDR"
50,116,0.958769653267686,"UnifDR"
51,116,0.958772354525262,"UnifDR"
52,116,0.958775055782839,"UnifDR"
60,116,0.95878315955557,"UnifDR"
78,116,0.958799367101041,"UnifDR"
80,116,0.958804769616201,"UnifDR"
82,116,0.958810172131362,"UnifDR"
37,117,0.95883178219202,"UnifDR"
39,117,0.958837184707188,"UnifDR"
42,117,0.958845288479942,"UnifDR"
47,117,0.958858794767872,"UnifDR"
48,117,0.958861496025459,"UnifDR"
62,117,0.958888508601348,"UnifDR"
63,117,0.958891209858939,"UnifDR"
65,117,0.958896612374121,"UnifDR"
68,117,0.958899313631713,"UnifDR"
31,118,0.95891552117727,"UnifDR"
35,118,0.958920923692459,"UnifDR"
48,118,0.958945235010823,"UnifDR"
63,118,0.958956040041216,"UnifDR"
79,118,0.958966845071614,"UnifDR"
35,119,0.95898035135962,"UnifDR"
38,119,0.958985753874824,"UnifDR"
42,119,0.95899115639003,"UnifDR"
150,11,0.959053285314992,"UnifDR"
175,11,0.959064090345438,"UnifDR"
45,120,0.959088401663961,"UnifDR"
52,120,0.959093804179192,"UnifDR"
62,120,0.959104609209658,"UnifDR"
64,120,0.959110011724893,"UnifDR"
35,121,0.959126219270606,"UnifDR"
41,121,0.959131621785847,"UnifDR"
44,121,0.959137024301089,"UnifDR"
61,121,0.959147829331576,"UnifDR"
62,121,0.959150530589199,"UnifDR"
64,121,0.959153231846822,"UnifDR"
65,121,0.959155933104445,"UnifDR"
69,121,0.959158634362069,"UnifDR"
76,121,0.959164036877317,"UnifDR"
80,121,0.959166738134942,"UnifDR"
37,122,0.959191049453579,"UnifDR"
56,122,0.959223464545137,"UnifDR"
63,122,0.959236970833301,"UnifDR"
80,122,0.959255879636744,"UnifDR"
81,122,0.95925858089438,"UnifDR"
33,123,0.959263983409653,"UnifDR"
38,123,0.959272087182565,"UnifDR"
39,123,0.959274788440203,"UnifDR"
56,123,0.959301801016601,"UnifDR"
70,123,0.959307203531885,"UnifDR"
71,123,0.959309904789527,"UnifDR"
35,124,0.959334216108323,"UnifDR"
48,124,0.959361228684795,"UnifDR"
49,124,0.959363929942444,"UnifDR"
57,124,0.959369332457743,"UnifDR"
59,124,0.959374734973043,"UnifDR"
61,124,0.959377436230694,"UnifDR"
65,124,0.959382838745997,"UnifDR"
68,124,0.959385540003648,"UnifDR"
41,125,0.959434162641435,"UnifDR"
43,125,0.959439565156752,"UnifDR"
47,125,0.959444967672069,"UnifDR"
49,125,0.959450370187388,"UnifDR"
63,125,0.959463876475692,"UnifDR"
26,126,0.959488187794658,"UnifDR"
36,126,0.959512499113652,"UnifDR"
58,126,0.959531407917333,"UnifDR"
38,127,0.959580030555444,"UnifDR"
48,127,0.959585433070796,"UnifDR"
65,127,0.959607043132219,"UnifDR"
69,127,0.959612445647578,"UnifDR"
30,128,0.959639458224392,"UnifDR"
38,128,0.959655665770497,"UnifDR"
54,128,0.959677275831989,"UnifDR"
59,128,0.959688080862743,"UnifDR"
36,129,0.95972319721273,"UnifDR"
38,129,0.959725898470424,"UnifDR"
42,129,0.959731300985812,"UnifDR"
49,129,0.959734002243507,"UnifDR"
51,129,0.959736703501202,"UnifDR"
61,129,0.959758313562773,"UnifDR"
62,129,0.959761014820471,"UnifDR"
70,129,0.959769118593567,"UnifDR"
73,129,0.959774521108966,"UnifDR"
141,12,0.959779923624366,"UnifDR"
150,12,0.959798832428278,"UnifDR"
162,12,0.959809637459092,"UnifDR"
187,12,0.959815039974501,"UnifDR"
30,130,0.959820442489911,"UnifDR"
50,130,0.959828546263029,"UnifDR"
59,130,0.959839351293857,"UnifDR"
68,130,0.9598528575824,"UnifDR"
69,130,0.95985555884011,"UnifDR"
70,130,0.95985826009782,"UnifDR"
74,130,0.959863662613241,"UnifDR"
42,131,0.959885272674938,"UnifDR"
52,131,0.95989337644808,"UnifDR"
57,131,0.959898778963509,"UnifDR"
60,131,0.959906882736656,"UnifDR"
59,132,0.959960907891045,"UnifDR"
60,132,0.959963609148768,"UnifDR"
63,132,0.959971712921939,"UnifDR"
67,132,0.959977115437388,"UnifDR"
70,132,0.959982517952838,"UnifDR"
71,132,0.959985219210564,"UnifDR"
73,132,0.959990621726016,"UnifDR"
75,132,0.959993322983743,"UnifDR"
27,133,0.960006829272381,"UnifDR"
34,133,0.960012231787838,"UnifDR"
36,133,0.960014933045567,"UnifDR"
57,133,0.960023036818757,"UnifDR"
63,133,0.96003114059195,"UnifDR"
33,134,0.960063555684751,"UnifDR"
36,134,0.960068958200223,"UnifDR"
43,134,0.960074360715696,"UnifDR"
53,134,0.960082464488908,"UnifDR"
88,134,0.960106775808561,"UnifDR"
61,135,0.960128385870498,"UnifDR"
63,135,0.960133788385985,"UnifDR"
65,135,0.960139190901474,"UnifDR"
77,135,0.960152697190202,"UnifDR"
86,135,0.960155398447949,"UnifDR"
87,135,0.960158099705696,"UnifDR"
30,136,0.960166203478938,"UnifDR"
38,136,0.960182411025433,"UnifDR"
61,136,0.960190514798685,"UnifDR"
