"X","Y","Prediction","Method"
43,114,0,"CART"
43,113,0,"CART"
44,113,0,"CART"
46,111,0,"CART"
45,110,0.0158730158730159,"CART"
44,110,0.266666666666667,"CART"
47,109,0,"CART"
46,109,0.266666666666667,"CART"
48,108,0.222222222222222,"CART"
48,107,0.0158730158730159,"CART"
46,107,0,"CART"
49,110,0,"CART"
48,110,0,"CART"
51,109,0,"CART"
89,132,0.571428571428571,"CART"
71,128,1,"CART"
73,126,0.5,"CART"
68,125,0.666666666666667,"CART"
70,124,0.875,"CART"
73,125,1,"CART"
72,125,1,"CART"
50,154,1,"CART"
50,152,1,"CART"
49,150,1,"CART"
52,157,1,"CART"
56,151,1,"CART"
57,149,1,"CART"
55,149,1,"CART"
52,146,1,"CART"
71,122,0.266666666666667,"CART"
76,125,0.875,"CART"
79,125,0.875,"CART"
41,140,1,"CART"
43,141,1,"CART"
44,144,1,"CART"
37,144,1,"CART"
48,144,1,"CART"
55,117,0.166666666666667,"CART"
53,115,0.588235294117647,"CART"
51,117,1,"CART"
50,116,0.9,"CART"
49,117,1,"CART"
47,117,0.666666666666667,"CART"
46,115,0.0158730158730159,"CART"
47,116,0.9,"CART"
46,114,0.588235294117647,"CART"
47,113,0,"CART"
48,111,0,"CART"
44,115,0,"CART"
51,113,0,"CART"
49,115,0,"CART"
41,118,0,"CART"
39,115,0,"CART"
1,198,1,"CART"
4,198,1,"CART"
9,195,1,"CART"
89,136,0.5,"CART"
87,133,0.5,"CART"
86,138,0.714285714285714,"CART"
68,136,0,"CART"
69,135,1,"CART"
70,134,1,"CART"
65,131,0,"CART"
69,130,0.5,"CART"
68,133,0.5,"CART"
69,132,0.5,"CART"
70,133,0.5,"CART"
71,132,1,"CART"
72,132,1,"CART"
74,133,1,"CART"
76,133,0.714285714285714,"CART"
75,131,0.714285714285714,"CART"
71,131,1,"CART"
91,90,1,"CART"
94,89,1,"CART"
86,91,0.875,"CART"
88,90,0.875,"CART"
86,90,1,"CART"
86,89,1,"CART"
89,92,1,"CART"
91,92,0,"CART"
92,92,0,"CART"
97,91,1,"CART"
96,89,1,"CART"
98,89,1,"CART"
98,95,1,"CART"
99,97,1,"CART"
98,87,1,"CART"
97,86,1,"CART"
97,88,1,"CART"
95,86,0.88235294117647,"CART"
96,85,1,"CART"
93,86,0.875,"CART"
92,83,1,"CART"
91,85,1,"CART"
89,88,1,"CART"
89,86,1,"CART"
90,84,1,"CART"
86,81,1,"CART"
85,78,1,"CART"
80,77,1,"CART"
82,88,1,"CART"
83,87,1,"CART"
83,84,1,"CART"
78,93,1,"CART"
78,92,1,"CART"
43,154,1,"CART"
42,155,1,"CART"
33,153,0.857142857142857,"CART"
5,178,1,"CART"
10,187,1,"CART"
15,183,1,"CART"
5,182,0.571428571428571,"CART"
5,181,1,"CART"
5,173,0.625,"CART"
3,175,1,"CART"
2,174,1,"CART"
5,172,1,"CART"
6,168,1,"CART"
2,171,1,"CART"
1,171,1,"CART"
12,161,1,"CART"
177,13,1,"CART"
175,11,1,"CART"
179,10,1,"CART"
176,10,0.714285714285714,"CART"
179,7,1,"CART"
172,6,1,"CART"
175,6,0,"CART"
176,6,0.714285714285714,"CART"
176,5,1,"CART"
177,5,1,"CART"
175,4,1,"CART"
177,4,1,"CART"
169,4,0.555555555555556,"CART"
167,17,1,"CART"
169,18,1,"CART"
168,16,1,"CART"
192,19,0.555555555555556,"CART"
119,103,1,"CART"
121,99,0.875,"CART"
121,94,0.944444444444444,"CART"
147,83,1,"CART"
107,62,0.875,"CART"
106,62,1,"CART"
105,62,0.538461538461538,"CART"
110,61,0.9,"CART"
106,59,0.68421052631579,"CART"
107,58,0.9,"CART"
99,54,0.9,"CART"
97,59,0.9,"CART"
98,56,0.9,"CART"
102,64,0.9,"CART"
100,63,1,"CART"
100,66,1,"CART"
101,69,1,"CART"
103,66,0.88235294117647,"CART"
102,67,1,"CART"
103,67,1,"CART"
108,62,0,"CART"
117,68,1,"CART"
110,67,0.9,"CART"
120,66,1,"CART"
134,66,1,"CART"
133,67,1,"CART"
133,66,0,"CART"
132,67,1,"CART"
133,53,1,"CART"
123,54,1,"CART"
118,55,0.9,"CART"
111,58,1,"CART"
111,57,1,"CART"
109,58,1,"CART"
89,81,1,"CART"
93,81,1,"CART"
94,82,1,"CART"
96,80,1,"CART"
95,78,1,"CART"
87,76,1,"CART"
87,72,0.875,"CART"
34,138,1,"CART"
32,138,0.571428571428571,"CART"
32,137,1,"CART"
30,139,1,"CART"
30,138,1,"CART"
31,137,1,"CART"
32,136,1,"CART"
36,136,1,"CART"
34,136,0.0158730158730159,"CART"
36,133,0.857142857142857,"CART"
72,173,1,"CART"
119,38,0.6,"CART"
118,37,0.6,"CART"
116,37,0,"CART"
118,34,0,"CART"
120,34,0.357142857142857,"CART"
119,34,0,"CART"
123,35,0,"CART"
123,34,0,"CART"
119,33,0.357142857142857,"CART"
123,32,0.642857142857143,"CART"
120,32,0,"CART"
116,32,0,"CART"
116,31,0,"CART"
117,31,0.235294117647059,"CART"
119,31,0,"CART"
120,30,0,"CART"
121,27,0,"CART"
122,36,0,"CART"
132,34,0,"CART"
131,34,0,"CART"
129,34,0.157894736842105,"CART"
133,34,0,"CART"
130,31,0,"CART"
130,33,0,"CART"
128,33,0.857142857142857,"CART"
127,32,0.857142857142857,"CART"
126,34,0.157894736842105,"CART"
125,33,0.157894736842105,"CART"
125,35,0,"CART"
125,34,0,"CART"
125,32,0,"CART"
125,31,0.857142857142857,"CART"
126,31,0.368421052631579,"CART"
126,29,0.157894736842105,"CART"
124,31,0.642857142857143,"CART"
122,29,0.368421052631579,"CART"
124,29,0,"CART"
125,28,0,"CART"
126,28,0,"CART"
124,27,0.642857142857143,"CART"
123,26,0,"CART"
124,25,0.142857142857143,"CART"
118,29,0,"CART"
120,27,0,"CART"
119,27,0,"CART"
118,27,0,"CART"
115,33,0,"CART"
113,33,0,"CART"
110,34,0,"CART"
110,33,0,"CART"
110,32,0,"CART"
115,32,0,"CART"
121,48,0.68421052631579,"CART"
121,45,0.9,"CART"
128,44,1,"CART"
124,44,0,"CART"
125,44,0.714285714285714,"CART"
123,43,0.68421052631579,"CART"
125,43,1,"CART"
126,44,1,"CART"
120,41,0,"CART"
131,41,1,"CART"
117,41,0,"CART"
117,40,0.357142857142857,"CART"
120,38,0.235294117647059,"CART"
121,39,0.368421052631579,"CART"
94,104,1,"CART"
95,101,1,"CART"
80,96,1,"CART"
79,95,0.875,"CART"
85,95,0.875,"CART"
87,94,0.944444444444444,"CART"
89,94,1,"CART"
88,93,1,"CART"
38,119,0.0158730158730159,"CART"
39,118,0,"CART"
36,117,0,"CART"
35,116,0.0158730158730159,"CART"
37,114,0.0158730158730159,"CART"
33,114,0.0158730158730159,"CART"
34,118,0,"CART"
29,122,1,"CART"
88,105,0.944444444444444,"CART"
81,109,1,"CART"
84,110,0.875,"CART"
11,155,1,"CART"
23,144,0.8,"CART"
10,146,1,"CART"
11,145,1,"CART"
13,141,1,"CART"
17,136,1,"CART"
24,140,0.375,"CART"
25,137,1,"CART"
71,104,1,"CART"
73,104,0.9,"CART"
70,104,1,"CART"
68,104,0.9,"CART"
70,103,1,"CART"
75,104,1,"CART"
75,102,1,"CART"
74,100,1,"CART"
77,101,1,"CART"
78,103,1,"CART"
82,100,1,"CART"
66,99,0.9,"CART"
72,96,0.9,"CART"
70,97,1,"CART"
73,95,0.9,"CART"
74,95,0.777777777777778,"CART"
64,197,1,"CART"
70,192,1,"CART"
76,193,1,"CART"
118,110,0.944444444444444,"CART"
112,108,0.857142857142857,"CART"
108,109,1,"CART"
51,92,0.588235294117647,"CART"
53,93,1,"CART"
52,92,0.5,"CART"
54,90,0.0769230769230769,"CART"
55,87,0.166666666666667,"CART"
53,87,0,"CART"
54,86,0,"CART"
58,84,1,"CART"
52,84,0,"CART"
63,81,1,"CART"
65,78,0.9,"CART"
67,79,0.88235294117647,"CART"
59,77,0.166666666666667,"CART"
71,75,1,"CART"
50,84,0,"CART"
52,89,0.5,"CART"
41,124,0.0158730158730159,"CART"
41,122,0.9,"CART"
43,122,0.0158730158730159,"CART"
42,120,0.0158730158730159,"CART"
43,120,1,"CART"
41,125,0.0158730158730159,"CART"
39,125,0.823529411764706,"CART"
40,125,0.5,"CART"
44,124,0,"CART"
42,124,0,"CART"
37,128,0.0158730158730159,"CART"
39,129,0.5,"CART"
38,129,0.9,"CART"
36,128,0.0158730158730159,"CART"
36,129,1,"CART"
63,139,0.111111111111111,"CART"
64,143,0.846153846153846,"CART"
64,142,1,"CART"
62,141,1,"CART"
62,142,1,"CART"
67,143,1,"CART"
69,141,1,"CART"
69,144,1,"CART"
69,146,1,"CART"
84,145,0.5,"CART"
85,145,0.5,"CART"
128,29,0,"CART"
130,29,0,"CART"
131,30,0,"CART"
131,27,0,"CART"
132,27,0,"CART"
133,27,0,"CART"
133,24,0.157894736842105,"CART"
133,23,0.157894736842105,"CART"
135,23,0,"CART"
135,19,0.142857142857143,"CART"
132,21,0,"CART"
133,22,0,"CART"
133,25,0.642857142857143,"CART"
132,26,0,"CART"
132,23,0.142857142857143,"CART"
129,23,0,"CART"
129,26,0.857142857142857,"CART"
130,26,0.857142857142857,"CART"
128,28,0.642857142857143,"CART"
127,27,0.368421052631579,"CART"
126,25,0,"CART"
126,27,0.157894736842105,"CART"
87,143,0.571428571428571,"CART"
66,136,1,"CART"
66,135,0,"CART"
64,132,0,"CART"
60,132,0.857142857142857,"CART"
59,135,0.466666666666667,"CART"
64,138,0,"CART"
76,144,1,"CART"
81,144,0.714285714285714,"CART"
84,144,0.5,"CART"
83,142,0.714285714285714,"CART"
68,139,1,"CART"
69,157,1,"CART"
72,155,0.714285714285714,"CART"
78,155,1,"CART"
68,163,1,"CART"
73,162,1,"CART"
138,30,1,"CART"
138,29,0.111111111111111,"CART"
138,32,1,"CART"
136,31,1,"CART"
135,30,1,"CART"
135,29,0.642857142857143,"CART"
140,29,0.733333333333333,"CART"
141,28,1,"CART"
142,30,0.733333333333333,"CART"
144,30,0,"CART"
144,29,1,"CART"
144,28,0.733333333333333,"CART"
146,25,1,"CART"
145,27,0.111111111111111,"CART"
140,23,0.142857142857143,"CART"
143,20,0,"CART"
143,22,0,"CART"
141,21,0,"CART"
146,32,0.888888888888889,"CART"
148,31,1,"CART"
145,31,1,"CART"
147,30,0.714285714285714,"CART"
148,30,1,"CART"
150,31,1,"CART"
151,30,1,"CART"
149,29,0.777777777777778,"CART"
149,30,1,"CART"
155,24,0.285714285714286,"CART"
152,20,0.363636363636364,"CART"
158,21,1,"CART"
159,28,1,"CART"
157,29,1,"CART"
155,32,0.777777777777778,"CART"
154,29,1,"CART"
156,28,0.777777777777778,"CART"
157,27,0.777777777777778,"CART"
158,27,0.555555555555556,"CART"
158,26,0.285714285714286,"CART"
160,27,0.777777777777778,"CART"
159,25,0,"CART"
158,25,0.555555555555556,"CART"
161,25,0.285714285714286,"CART"
162,26,0.777777777777778,"CART"
163,25,1,"CART"
164,25,1,"CART"
165,24,1,"CART"
163,24,1,"CART"
196,25,1,"CART"
195,21,1,"CART"
59,127,0.777777777777778,"CART"
60,127,1,"CART"
61,129,0,"CART"
63,130,0,"CART"
61,128,1,"CART"
61,127,0.666666666666667,"CART"
59,126,0,"CART"
62,122,0.666666666666667,"CART"
57,122,1,"CART"
61,93,0,"CART"
57,92,0.588235294117647,"CART"
58,92,0.166666666666667,"CART"
133,30,0,"CART"
134,32,0.25,"CART"
134,33,0.235294117647059,"CART"
135,34,0,"CART"
135,33,1,"CART"
136,34,0,"CART"
135,35,0,"CART"
138,35,0.642857142857143,"CART"
138,33,1,"CART"
140,35,1,"CART"
141,35,1,"CART"
140,36,0.357142857142857,"CART"
141,33,1,"CART"
142,32,0.222222222222222,"CART"
143,34,1,"CART"
143,32,0,"CART"
145,32,1,"CART"
145,33,1,"CART"
146,33,1,"CART"
141,64,1,"CART"
140,44,0.714285714285714,"CART"
137,40,1,"CART"
138,41,1,"CART"
146,51,1,"CART"
147,51,1,"CART"
146,50,1,"CART"
143,41,1,"CART"
142,43,0.555555555555556,"CART"
140,40,1,"CART"
139,40,1,"CART"
164,41,1,"CART"
160,34,1,"CART"
152,43,1,"CART"
157,41,1,"CART"
164,36,1,"CART"
166,35,1,"CART"
170,36,1,"CART"
176,36,0.888888888888889,"CART"
200,36,1,"CART"
194,50,1,"CART"
194,49,1,"CART"
140,37,0.357142857142857,"CART"
142,36,1,"CART"
143,36,0,"CART"
144,36,0.625,"CART"
145,36,0,"CART"
149,33,0.777777777777778,"CART"
138,50,1,"CART"
144,51,1,"CART"
149,46,1,"CART"
146,5,1,"CART"
146,6,1,"CART"
147,3,0,"CART"
144,4,1,"CART"
142,6,0.555555555555556,"CART"
141,6,0.142857142857143,"CART"
143,7,0,"CART"
141,9,0,"CART"
144,6,0.714285714285714,"CART"
147,6,0.555555555555556,"CART"
145,2,1,"CART"
144,2,0,"CART"
144,3,0,"CART"
143,3,0.666666666666667,"CART"
148,4,1,"CART"
149,5,0,"CART"
150,6,0,"CART"
149,7,0,"CART"
149,8,0.555555555555556,"CART"
144,11,0,"CART"
142,12,0,"CART"
140,11,0.714285714285714,"CART"
140,12,0.555555555555556,"CART"
142,17,0,"CART"
145,18,0,"CART"
145,16,0,"CART"
147,16,0,"CART"
147,15,0.363636363636364,"CART"
145,15,0,"CART"
143,14,1,"CART"
145,13,0.733333333333333,"CART"
145,12,0,"CART"
153,14,1,"CART"
154,12,1,"CART"
160,16,0,"CART"
161,7,0.714285714285714,"CART"
155,4,0.666666666666667,"CART"
163,3,1,"CART"
152,6,0.285714285714286,"CART"
40,111,0.833333333333333,"CART"
37,111,0,"CART"
40,110,0.222222222222222,"CART"
62,115,0.777777777777778,"CART"
61,115,0.823529411764706,"CART"
60,116,0.777777777777778,"CART"
61,117,0,"CART"
60,118,0,"CART"
62,117,1,"CART"
64,117,0.777777777777778,"CART"
61,114,0.588235294117647,"CART"
59,121,1,"CART"
61,119,0,"CART"
63,119,1,"CART"
63,118,0,"CART"
62,121,1,"CART"
61,121,0.166666666666667,"CART"
66,115,0.266666666666667,"CART"
66,112,1,"CART"
65,111,1,"CART"
62,111,1,"CART"
64,113,1,"CART"
64,112,0.823529411764706,"CART"
61,113,1,"CART"
59,112,0.375,"CART"
58,111,0,"CART"
73,69,1,"CART"
74,66,1,"CART"
75,66,1,"CART"
70,59,0.428571428571429,"CART"
73,59,0.0833333333333333,"CART"
77,58,0.0833333333333333,"CART"
73,56,0,"CART"
75,55,0,"CART"
76,53,0.428571428571429,"CART"
74,64,0.0833333333333333,"CART"
77,60,0,"CART"
39,109,0.5,"CART"
38,108,0,"CART"
39,108,0.0158730158730159,"CART"
41,107,0.0158730158730159,"CART"
43,107,0,"CART"
45,106,0.142857142857143,"CART"
45,105,0.5,"CART"
39,106,0,"CART"
39,104,0.0158730158730159,"CART"
93,40,0,"CART"
94,40,0,"CART"
92,40,0,"CART"
86,47,0,"CART"
86,44,0,"CART"
87,43,0,"CART"
78,51,0,"CART"
78,52,0,"CART"
75,46,0.428571428571429,"CART"
78,47,0,"CART"
50,103,0.588235294117647,"CART"
51,102,0.266666666666667,"CART"
51,101,0,"CART"
48,103,0.176470588235294,"CART"
47,101,0,"CART"
46,101,0,"CART"
46,103,0.0158730158730159,"CART"
45,104,0,"CART"
45,101,0,"CART"
46,100,0,"CART"
49,98,0,"CART"
50,99,0,"CART"
51,100,0,"CART"
54,95,0,"CART"
55,97,0,"CART"
56,96,0,"CART"
57,96,0.166666666666667,"CART"
56,103,0.166666666666667,"CART"
47,94,0.266666666666667,"CART"
45,98,0.588235294117647,"CART"
44,98,0,"CART"
50,97,0,"CART"
49,97,0,"CART"
49,94,0,"CART"
52,95,0.266666666666667,"CART"
38,170,0.375,"CART"
41,170,1,"CART"
42,170,1,"CART"
40,174,1,"CART"
42,172,1,"CART"
43,169,1,"CART"
40,169,1,"CART"
36,175,1,"CART"
34,170,0.625,"CART"
46,179,1,"CART"
46,171,1,"CART"
69,150,1,"CART"
55,197,1,"CART"
42,194,1,"CART"
33,196,1,"CART"
38,189,1,"CART"
42,185,1,"CART"
52,191,1,"CART"
45,122,0.9,"CART"
44,120,0.142857142857143,"CART"
46,122,0,"CART"
48,122,0.666666666666667,"CART"
49,122,0.777777777777778,"CART"
48,127,0.0158730158730159,"CART"
48,126,0,"CART"
48,124,0,"CART"
51,124,0.9,"CART"
52,125,0.5,"CART"
51,126,0.5,"CART"
52,120,0.466666666666667,"CART"
38,121,0.111111111111111,"CART"
38,123,0,"CART"
39,123,0.0158730158730159,"CART"
38,122,0,"CART"
38,124,0.0158730158730159,"CART"
37,125,0.0158730158730159,"CART"
32,123,0.9,"CART"
33,122,0.0158730158730159,"CART"
33,121,0.111111111111111,"CART"
34,124,0.111111111111111,"CART"
35,124,0,"CART"
34,125,0.9,"CART"
33,125,1,"CART"
35,125,0,"CART"
33,127,1,"CART"
30,126,0.9,"CART"
29,126,0.0158730158730159,"CART"
27,127,0.588235294117647,"CART"
27,126,1,"CART"
27,128,0.9,"CART"
29,127,0.588235294117647,"CART"
30,130,0.111111111111111,"CART"
31,130,0.111111111111111,"CART"
29,130,0.666666666666667,"CART"
30,131,1,"CART"
27,133,0.8,"CART"
25,133,1,"CART"
18,131,0.571428571428571,"CART"
69,111,0.833333333333333,"CART"
70,112,0.266666666666667,"CART"
68,110,0.833333333333333,"CART"
64,110,0.727272727272727,"CART"
65,110,0.727272727272727,"CART"
66,109,0.222222222222222,"CART"
69,109,1,"CART"
74,110,0.777777777777778,"CART"
70,109,0.727272727272727,"CART"
78,109,0.833333333333333,"CART"
70,107,0.727272727272727,"CART"
68,107,0.727272727272727,"CART"
66,106,0.727272727272727,"CART"
65,105,0.9,"CART"
64,105,0.588235294117647,"CART"
63,106,1,"CART"
61,102,0.166666666666667,"CART"
67,102,1,"CART"
68,106,1,"CART"
73,107,1,"CART"
69,105,0.9,"CART"
54,144,1,"CART"
51,140,1,"CART"
52,137,1,"CART"
54,135,1,"CART"
55,137,1,"CART"
56,134,1,"CART"
45,162,1,"CART"
44,163,1,"CART"
39,166,1,"CART"
40,161,1,"CART"
33,163,1,"CART"
40,164,1,"CART"
42,163,1,"CART"
47,158,1,"CART"
43,158,1,"CART"
34,183,1,"CART"
31,179,1,"CART"
30,175,1,"CART"
17,178,1,"CART"
18,176,1,"CART"
22,175,1,"CART"
108,88,0.857142857142857,"CART"
108,84,1,"CART"
100,85,0.88235294117647,"CART"
101,85,1,"CART"
102,85,1,"CART"
98,81,1,"CART"
101,81,1,"CART"
98,79,1,"CART"
100,79,1,"CART"
105,79,0.875,"CART"
120,78,0.777777777777778,"CART"
113,70,1,"CART"
110,72,1,"CART"
112,74,1,"CART"
101,78,1,"CART"
101,75,1,"CART"
105,74,1,"CART"
106,76,1,"CART"
107,76,1,"CART"
79,116,0.875,"CART"
80,117,1,"CART"
80,116,1,"CART"
82,117,1,"CART"
83,118,0.875,"CART"
87,121,0.944444444444444,"CART"
82,116,1,"CART"
83,114,0.833333333333333,"CART"
83,113,0.777777777777778,"CART"
78,116,1,"CART"
78,112,0.875,"CART"
111,40,0.25,"CART"
108,40,0.6,"CART"
102,41,0.125,"CART"
100,40,1,"CART"
104,38,0,"CART"
99,38,0.142857142857143,"CART"
102,37,0.357142857142857,"CART"
101,38,0,"CART"
101,37,0.235294117647059,"CART"
103,36,0,"CART"
103,35,0.357142857142857,"CART"
103,34,0.357142857142857,"CART"
108,38,0,"CART"
107,37,0,"CART"
106,36,0,"CART"
106,34,0.368421052631579,"CART"
107,35,0,"CART"
109,35,0,"CART"
110,35,0,"CART"
109,36,0,"CART"
110,36,0,"CART"
110,37,0,"CART"
113,37,0,"CART"
113,36,0,"CART"
56,126,1,"CART"
52,129,0.9,"CART"
53,129,0.588235294117647,"CART"
53,130,1,"CART"
48,128,0.9,"CART"
49,132,0.857142857142857,"CART"
43,134,0.571428571428571,"CART"
44,136,0.857142857142857,"CART"
48,130,0.9,"CART"
56,141,1,"CART"
57,140,1,"CART"
57,139,1,"CART"
56,139,1,"CART"
56,138,1,"CART"
58,138,1,"CART"
59,139,0.857142857142857,"CART"
58,140,1,"CART"
59,140,1,"CART"
58,143,1,"CART"
63,148,1,"CART"
