"X","Y","Prediction","Method"
43,114,0.0211736922992728,"DRF"
43,113,0.00432977540175683,"DRF"
44,113,0.0275866504711319,"DRF"
46,111,0.000873015873015873,"DRF"
45,110,0.0929652804684858,"DRF"
44,110,0.550450860512896,"DRF"
47,109,0.258675288754186,"DRF"
46,109,0.519990490211543,"DRF"
48,108,0.140440176313338,"DRF"
48,107,0.0968491099149962,"DRF"
46,107,0.0106099580974581,"DRF"
49,110,0.0458033715232211,"DRF"
48,110,0.00115079365079365,"DRF"
51,109,0.0335040561435618,"DRF"
89,132,0.92046134310194,"DRF"
71,128,0.942582696596825,"DRF"
73,126,0.397632601282259,"DRF"
68,125,0.38381184326304,"DRF"
70,124,0.808006303861071,"DRF"
73,125,0.78610976107114,"DRF"
72,125,0.921621170957863,"DRF"
50,154,0.940200037261574,"DRF"
50,152,0.937903762614738,"DRF"
49,150,0.947068231423363,"DRF"
52,157,0.973572295958019,"DRF"
56,151,0.958572722807597,"DRF"
57,149,0.818801016201888,"DRF"
55,149,0.968482568855056,"DRF"
52,146,0.969010714650971,"DRF"
71,122,0.791101430087538,"DRF"
76,125,0.885721767030439,"DRF"
79,125,0.869463433098885,"DRF"
41,140,0.941237347563357,"DRF"
43,141,0.831692709272918,"DRF"
44,144,0.922484701695892,"DRF"
37,144,0.97325609523439,"DRF"
48,144,0.957574822388179,"DRF"
55,117,0.467713397949659,"DRF"
53,115,0.653920531532451,"DRF"
51,117,0.90043902616225,"DRF"
50,116,0.531862366151221,"DRF"
49,117,0.913840584739813,"DRF"
47,117,0.224221129302128,"DRF"
46,115,0.116343623809684,"DRF"
47,116,0.559425626789791,"DRF"
46,114,0.635108565685374,"DRF"
47,113,0.0235363604833419,"DRF"
48,111,0.0108453148459727,"DRF"
44,115,0.0266370098339913,"DRF"
51,113,0.00949759369457512,"DRF"
49,115,0.00683152365350508,"DRF"
41,118,0.0938634811948246,"DRF"
39,115,0.256138877624895,"DRF"
1,198,0.97785476352311,"DRF"
4,198,0.96619524698329,"DRF"
9,195,0.965534990817576,"DRF"
89,136,0.488504452217527,"DRF"
87,133,0.589457041056054,"DRF"
86,138,0.613475874698537,"DRF"
68,136,0.312481323043416,"DRF"
69,135,0.773147643315913,"DRF"
70,134,0.862842307210072,"DRF"
65,131,0.308474103804966,"DRF"
69,130,0.336574809889586,"DRF"
68,133,0.374302333557446,"DRF"
69,132,0.3239255837191,"DRF"
70,133,0.319092744825968,"DRF"
71,132,0.927206306518037,"DRF"
72,132,0.924987442049173,"DRF"
74,133,0.935967664763334,"DRF"
76,133,0.657573975254055,"DRF"
75,131,0.841762638715586,"DRF"
71,131,0.80815291095307,"DRF"
91,90,0.97368955704529,"DRF"
94,89,0.940364370673236,"DRF"
86,91,0.870351093369707,"DRF"
88,90,0.881008656846537,"DRF"
86,90,0.960499161735,"DRF"
86,89,0.951346415711868,"DRF"
89,92,0.830233257887499,"DRF"
91,92,0.010356789044289,"DRF"
92,92,0.0136094560968787,"DRF"
97,91,0.647703869701774,"DRF"
96,89,0.858112944323319,"DRF"
