"X","Y","Prediction","Method"
43,114,0,"Engression"
43,113,0,"Engression"
44,113,0,"Engression"
46,111,0,"Engression"
45,110,0.17,"Engression"
44,110,0.38,"Engression"
47,109,0.27,"Engression"
46,109,0.44,"Engression"
48,108,0.16,"Engression"
48,107,0.14,"Engression"
46,107,0.03,"Engression"
49,110,0.04,"Engression"
48,110,0,"Engression"
51,109,0.03,"Engression"
89,132,0.99,"Engression"
71,128,1,"Engression"
73,126,0.62,"Engression"
68,125,0.66,"Engression"
70,124,0.91,"Engression"
73,125,0.87,"Engression"
72,125,0.95,"Engression"
50,154,0.95,"Engression"
50,152,0.94,"Engression"
49,150,0.93,"Engression"
52,157,1,"Engression"
56,151,1,"Engression"
57,149,0.85,"Engression"
55,149,1,"Engression"
52,146,0.97,"Engression"
71,122,0.82,"Engression"
76,125,0.94,"Engression"
79,125,0.9,"Engression"
41,140,0.9,"Engression"
43,141,0.8,"Engression"
44,144,0.94,"Engression"
37,144,0.94,"Engression"
48,144,0.95,"Engression"
55,117,0.52,"Engression"
53,115,0.7,"Engression"
51,117,0.82,"Engression"
50,116,0.67,"Engression"
49,117,0.91,"Engression"
47,117,0.19,"Engression"
46,115,0.2,"Engression"
47,116,0.55,"Engression"
46,114,0.7,"Engression"
47,113,0,"Engression"
48,111,0.03,"Engression"
44,115,0,"Engression"
51,113,0,"Engression"
49,115,0.01,"Engression"
41,118,0.1,"Engression"
39,115,0.24,"Engression"
1,198,0.98,"Engression"
4,198,1,"Engression"
9,195,0.93,"Engression"
89,136,0.67,"Engression"
87,133,0.82,"Engression"
86,138,0.93,"Engression"
68,136,0.57,"Engression"
69,135,0.86,"Engression"
70,134,0.97,"Engression"
65,131,0.53,"Engression"
69,130,0.56,"Engression"
68,133,0.66,"Engression"
69,132,0.56,"Engression"
70,133,0.57,"Engression"
71,132,0.94,"Engression"
72,132,0.97,"Engression"
74,133,0.99,"Engression"
76,133,0.74,"Engression"
75,131,0.98,"Engression"
71,131,0.92,"Engression"
91,90,0.92,"Engression"
94,89,0.9,"Engression"
86,91,0.75,"Engression"
88,90,0.76,"Engression"
86,90,0.94,"Engression"
86,89,0.97,"Engression"
89,92,0.63,"Engression"
91,92,0.01,"Engression"
92,92,0,"Engression"
97,91,0.48,"Engression"
96,89,0.75,"Engression"
98,89,0.75,"Engression"
98,95,0.86,"Engression"
99,97,0.88,"Engression"
98,87,0.92,"Engression"
97,86,0.94,"Engression"
97,88,0.9,"Engression"
95,86,0.89,"Engression"
96,85,0.54,"Engression"
93,86,0.83,"Engression"
92,83,0.82,"Engression"
91,85,0.76,"Engression"
89,88,0.79,"Engression"
89,86,0.91,"Engression"
90,84,0.84,"Engression"
86,81,0.92,"Engression"
85,78,0.97,"Engression"
80,77,0.54,"Engression"
82,88,0.76,"Engression"
83,87,0.91,"Engression"
83,84,0.71,"Engression"
