"X","Y","Prediction","Method"
43,114,0,"MARS"
43,113,0,"MARS"
44,113,0.108616818490312,"MARS"
46,111,0.0415731960738235,"MARS"
45,110,0.169971764906518,"MARS"
44,110,0.552229920007638,"MARS"
47,109,0.294948729374136,"MARS"
46,109,0.504587958005772,"MARS"
48,108,0.285187938525891,"MARS"
48,107,0.225436959517312,"MARS"
46,107,0.0257566279977848,"MARS"
49,110,0.0425595355831691,"MARS"
48,110,0.0327719619142831,"MARS"
51,109,0,"MARS"
89,132,1,"MARS"
71,128,0.897891816216474,"MARS"
73,126,0.534984650153734,"MARS"
68,125,0.565607044368405,"MARS"
70,124,0.751462779393755,"MARS"
73,125,0.750389560291627,"MARS"
72,125,0.834336295778489,"MARS"
50,154,0.866448389883225,"MARS"
50,152,0.812450838465157,"MARS"
49,150,0.892592315399853,"MARS"
52,157,1,"MARS"
56,151,1,"MARS"
57,149,0.725155365372277,"MARS"
55,149,0.994749928730654,"MARS"
52,146,0.939446210749943,"MARS"
71,122,0.766825280399854,"MARS"
76,125,0.861121852916078,"MARS"
79,125,0.890392066206,"MARS"
41,140,0.877387049166664,"MARS"
43,141,0.757922458775893,"MARS"
44,144,0.907094370163529,"MARS"
37,144,0.837672902334092,"MARS"
48,144,0.942569025060009,"MARS"
55,117,0.431328473220383,"MARS"
53,115,0.642736953949099,"MARS"
51,117,0.657639885253125,"MARS"
50,116,0.482614236821341,"MARS"
49,117,0.741207645729662,"MARS"
47,117,0.272262937153009,"MARS"
46,115,0.191084792663694,"MARS"
47,116,0.539969536130464,"MARS"
46,114,0.512126358528023,"MARS"
47,113,0.0717829097360248,"MARS"
48,111,0,"MARS"
44,115,0.107180168941525,"MARS"
51,113,0.106542937616833,"MARS"
49,115,0.007651882821573,"MARS"
41,118,0.0991903494239307,"MARS"
39,115,0.223601297297623,"MARS"
1,198,0.965791974448968,"MARS"
4,198,1,"MARS"
9,195,0.917292166803995,"MARS"
89,136,0.682990304738807,"MARS"
87,133,0.730726106437605,"MARS"
86,138,0.802963821407914,"MARS"
68,136,0.490078179963826,"MARS"
69,135,0.793587766852436,"MARS"
70,134,0.896358831389807,"MARS"
65,131,0.448598323851799,"MARS"
69,130,0.528146515992181,"MARS"
68,133,0.550443378611141,"MARS"
69,132,0.494984074152625,"MARS"
70,133,0.456529277927652,"MARS"
71,132,0.894286648760771,"MARS"
72,132,0.898912044634624,"MARS"
74,133,0.969549053841075,"MARS"
76,133,0.656470455144799,"MARS"
75,131,0.87865124215361,"MARS"
71,131,0.81763930482683,"MARS"
91,90,1,"MARS"
94,89,1,"MARS"
86,91,0.915980844801299,"MARS"
88,90,0.826756752057905,"MARS"
86,90,0.978934245444887,"MARS"
86,89,1,"MARS"
89,92,0.742506955839678,"MARS"
91,92,0.333645976234797,"MARS"
92,92,0.413389185817461,"MARS"
97,91,0.656681463118179,"MARS"
96,89,0.81583594909951,"MARS"
98,89,0.915370849024323,"MARS"
98,95,0.951369953011728,"MARS"
99,97,0.919708055183958,"MARS"
98,87,1,"MARS"
97,86,0.987781675439867,"MARS"
97,88,1,"MARS"
95,86,1,"MARS"
96,85,0.709155149864679,"MARS"
93,86,0.966669280157703,"MARS"
92,83,0.873811492933367,"MARS"
91,85,1,"MARS"
89,88,0.921317961413146,"MARS"
89,86,1,"MARS"
90,84,0.983322512672431,"MARS"
86,81,0.981700645194202,"MARS"
85,78,0.944922680238225,"MARS"
80,77,0.654056175889443,"MARS"
82,88,0.944728086034359,"MARS"
83,87,0.972431910247663,"MARS"
83,84,0.959179601265645,"MARS"
78,93,0.92737649086953,"MARS"
78,92,0.869526763892126,"MARS"
43,154,0.977477136624139,"MARS"
42,155,0.904358564167379,"MARS"
33,153,0.898041075057222,"MARS"
5,178,1,"MARS"
10,187,1,"MARS"
15,183,1,"MARS"
5,182,0.916985002572821,"MARS"
5,181,1,"MARS"
5,173,0.77905922710338,"MARS"
3,175,1,"MARS"
2,174,1,"MARS"
5,172,1,"MARS"
6,168,1,"MARS"
2,171,1,"MARS"
1,171,1,"MARS"
12,161,1,"MARS"
177,13,1,"MARS"
175,11,0.752949940414083,"MARS"
179,10,0.85612377244104,"MARS"
176,10,1,"MARS"
179,7,0.837751865793234,"MARS"
172,6,0.984204121455397,"MARS"
175,6,0.570016038012106,"MARS"
176,6,0.986386382535843,"MARS"
176,5,1,"MARS"
177,5,0.936354461628712,"MARS"
175,4,1,"MARS"
177,4,1,"MARS"
169,4,0.934301438113266,"MARS"
167,17,0.907728368303623,"MARS"
169,18,0.885447365919975,"MARS"
168,16,0.851356179245503,"MARS"
192,19,0.854708117992714,"MARS"
119,103,0.937350937292764,"MARS"
121,99,1,"MARS"
121,94,1,"MARS"
147,83,1,"MARS"
107,62,0.798772257071145,"MARS"
106,62,0.806029381942789,"MARS"
105,62,0.32474027425361,"MARS"
110,61,0.743367257714826,"MARS"
106,59,0.551023560388163,"MARS"
107,58,0.744061291490702,"MARS"
99,54,0.613338966255078,"MARS"
97,59,0.665439100621739,"MARS"
98,56,0.508515139500902,"MARS"
102,64,0.713062113885708,"MARS"
100,63,0.895337764134848,"MARS"
100,66,0.936506502376121,"MARS"
101,69,0.99458662421539,"MARS"
103,66,0.954283228390138,"MARS"
102,67,0.982061956319453,"MARS"
103,67,0.98646606112577,"MARS"
108,62,0.14780652267029,"MARS"
117,68,0.968929782842336,"MARS"
110,67,0.762559098458587,"MARS"
120,66,1,"MARS"
134,66,1,"MARS"
133,67,1,"MARS"
133,66,0.556490760797839,"MARS"
132,67,1,"MARS"
133,53,0.881878870240772,"MARS"
123,54,0.735900619067684,"MARS"
118,55,0.794675233643317,"MARS"
111,58,0.942164176498628,"MARS"
111,57,0.933338577781728,"MARS"
109,58,0.933373355990252,"MARS"
89,81,1,"MARS"
93,81,0.842399135861249,"MARS"
94,82,0.753816772088925,"MARS"
96,80,1,"MARS"
95,78,1,"MARS"
87,76,0.93752454188015,"MARS"
87,72,0.75793074102974,"MARS"
34,138,0.767332428585267,"MARS"
32,138,0.564595350189595,"MARS"
32,137,0.699144358454082,"MARS"
30,139,0.80791223735087,"MARS"
30,138,0.846228779464501,"MARS"
31,137,0.776990037696142,"MARS"
32,136,0.514463504426967,"MARS"
36,136,0.721980319426187,"MARS"
34,136,0.32426553988838,"MARS"
36,133,0.563100853516467,"MARS"
72,173,1,"MARS"
119,38,0.589056529972405,"MARS"
118,37,0.651235766080494,"MARS"
116,37,0.0008740305266087,"MARS"
118,34,0,"MARS"
120,34,0.164454341098252,"MARS"
119,34,0.0168784475507146,"MARS"
123,35,0.0942231257832188,"MARS"
123,34,0.0240670386925103,"MARS"
119,33,0.146548733698674,"MARS"
123,32,0.73081139546059,"MARS"
120,32,0.378456700859858,"MARS"
116,32,0,"MARS"
116,31,0,"MARS"
117,31,0.413310472952416,"MARS"
119,31,0.353600443620994,"MARS"
120,30,0.41136120738065,"MARS"
121,27,0,"MARS"
122,36,0,"MARS"
132,34,0.0437332512424758,"MARS"
131,34,0.105650918532383,"MARS"
129,34,0.460372250691491,"MARS"
133,34,0.119026595128672,"MARS"
130,31,0.0561832357589058,"MARS"
130,33,0.084083903957337,"MARS"
128,33,0.679779553265315,"MARS"
127,32,0.584972532577125,"MARS"
126,34,0.401804785611434,"MARS"
125,33,0.663555374444722,"MARS"
125,35,0.125075125108673,"MARS"
125,34,0.04079522413829,"MARS"
125,32,0.237695404642396,"MARS"
125,31,0.500667582986992,"MARS"
126,31,0.32599473647041,"MARS"
126,29,0.418850172539835,"MARS"
124,31,0.721968407639423,"MARS"
