"X","Y","Prediction","Method"
43,114,0.00740476190476191,"Random Forest"
43,113,0.00925,"Random Forest"
44,113,0.0012857142857143,"Random Forest"
46,111,0.0144547619047619,"Random Forest"
45,110,0.0117309523809524,"Random Forest"
44,110,0.5468,"Random Forest"
47,109,0.177366666666667,"Random Forest"
46,109,0.492140476190476,"Random Forest"
48,108,0.0709738095238095,"Random Forest"
48,107,0.0227357142857143,"Random Forest"
46,107,0.0496142857142857,"Random Forest"
49,110,0.0198761904761905,"Random Forest"
48,110,0.0327047619047619,"Random Forest"
51,109,0.00971428571428572,"Random Forest"
89,132,0.844785714285714,"Random Forest"
71,128,0.937061904761905,"Random Forest"
73,126,0.468492857142857,"Random Forest"
68,125,0.449914285714285,"Random Forest"
70,124,0.902742857142857,"Random Forest"
73,125,0.925835714285714,"Random Forest"
72,125,0.950411904761904,"Random Forest"
50,154,0.968647619047619,"Random Forest"
50,152,0.948747619047619,"Random Forest"
49,150,0.98392619047619,"Random Forest"
52,157,0.959302380952381,"Random Forest"
56,151,0.981552380952381,"Random Forest"
57,149,0.942307142857143,"Random Forest"
55,149,0.967057142857143,"Random Forest"
52,146,0.967495238095238,"Random Forest"
71,122,0.823466666666667,"Random Forest"
76,125,0.945607142857143,"Random Forest"
79,125,0.975219047619048,"Random Forest"
41,140,0.981716666666667,"Random Forest"
43,141,0.943395238095239,"Random Forest"
44,144,0.982142857142857,"Random Forest"
37,144,0.974442857142857,"Random Forest"
48,144,0.967559523809524,"Random Forest"
55,117,0.403633333333333,"Random Forest"
53,115,0.7012,"Random Forest"
51,117,0.824335714285714,"Random Forest"
50,116,0.520785714285714,"Random Forest"
49,117,0.816333333333334,"Random Forest"
47,117,0.183542857142857,"Random Forest"
46,115,0.0129880952380952,"Random Forest"
47,116,0.616211904761905,"Random Forest"
46,114,0.694219047619048,"Random Forest"
47,113,0.00637857142857143,"Random Forest"
48,111,0.0115833333333333,"Random Forest"
44,115,0.00758333333333333,"Random Forest"
51,113,0.0133595238095238,"Random Forest"
49,115,0.0074,"Random Forest"
41,118,0.0483857142857143,"Random Forest"
39,115,0.209366666666667,"Random Forest"
1,198,0.990466666666667,"Random Forest"
4,198,0.943576190476191,"Random Forest"
9,195,0.967138095238095,"Random Forest"
89,136,0.473330952380952,"Random Forest"
87,133,0.673714285714286,"Random Forest"
86,138,0.568633333333333,"Random Forest"
68,136,0.207083333333333,"Random Forest"
69,135,0.79585,"Random Forest"
70,134,0.924383333333334,"Random Forest"
65,131,0.122082142857143,"Random Forest"
69,130,0.306545238095238,"Random Forest"
68,133,0.261557142857143,"Random Forest"
69,132,0.467604761904762,"Random Forest"
70,133,0.292852380952381,"Random Forest"
71,132,0.880740476190476,"Random Forest"
72,132,0.932028571428571,"Random Forest"
74,133,0.957885714285714,"Random Forest"
