"Longitude","Latitude","Prediction","Method"
-67.144107,18.216038,1,"Engression"
-158.088613,21.323745,0.99,"Engression"
-80.111152,26.087567,0.21,"Engression"
-97.712684,26.200335,0.56,"Engression"
-81.710959,26.270083,0.26,"Engression"
-80.219619,26.687606,0.75,"Engression"
-80.240689,27.172458,0.29,"Engression"
-82.54593,27.633089,0.09,"Engression"
-82.000084,27.939746,0.22,"Engression"
-80.628611,28.053611,0.12,"Engression"
-81.3625,28.596389,0.17,"Engression"
-81.310556,28.746111,0.03,"Engression"
-82.100646,29.170533,0.04,"Engression"
-94.861289,29.254474,0.02,"Engression"
-103.17781,29.30265,0,"Engression"
-98.564936,29.632058,0.06,"Engression"
-95.128508,29.670025,0.38,"Engression"
-95.635833,29.723333,0.29,"Engression"
-93.894081,29.727931,0.25,"Engression"
-95.220582,29.767997,0.47,"Engression"
-95.125495,29.802707,0.68,"Engression"
-95.284096,29.828086,0.64,"Engression"
-94.317802,29.863957,0.73,"Engression"
-94.000556,29.9425,0.71,"Engression"
-91.869595,30.088872,0.34,"Engression"
-82.619167,30.178056,0.05,"Engression"
-82.441111,30.201111,0.22,"Engression"
-91.315418,30.221255,0.3,"Engression"
-90.965628,30.229653,0.57,"Engression"
-89.395916,30.300833,0.17,"Engression"
-97.761803,30.354944,0.15,"Engression"
-87.880258,30.497478,0.54,"Engression"
-106.323578,31.785769,0.2,"Engression"
-106.683324,31.787885,0.01,"Engression"
-106.584434,31.796218,0.02,"Engression"
-106.631103,31.930659,0.02,"Engression"
-84.08101,31.954286,0.39,"Engression"
-96.399141,32.031934,0.06,"Engression"
-110.774357,32.04767,0,"Engression"
-104.443447,32.178157,0,"Engression"
-110.9823,32.29515,0,"Engression"
-106.768337,32.317593,0,"Engression"
-90.182722,32.329111,0.06,"Engression"
-95.415754,32.344027,0.04,"Engression"
-104.262726,32.380118,0,"Engression"
-86.263394,32.412811,0.47,"Engression"
-92.046196,32.509959,0.31,"Engression"
-115.48307,32.67618,0,"Engression"
-115.56306,32.79222,0.48,"Engression"
-96.860117,32.820061,0.07,"Engression"
-97.905931,32.868773,0.11,"Engression"
-96.808498,32.919206,0.03,"Engression"
-96.459211,32.936523,0.3,"Engression"
-97.477175,32.987891,0.02,"Engression"
-115.62361,33.0325,0.26,"Engression"
-80.030712,33.183016,0.26,"Engression"
-115.54528,33.213611,0.11,"Engression"
-97.196284,33.219069,0.02,"Engression"
-112.160597,33.290229,0,"Engression"
-117.09023,33.362593,0,"Engression"
-112.07526,33.40314,0.02,"Engression"
-111.86536,33.41018,0,"Engression"
-111.93471,33.41123,0,"Engression"
-111.5436,33.4214,0,"Engression"
-112.095767,33.503833,0,"Engression"
-111.60972,33.54558,0,"Engression"
-112.06619,33.56031,0,"Engression"
-82.131249,33.582044,0.28,"Engression"
-112.34185,33.63718,0,"Engression"
-84.2905,33.6878,0.17,"Engression"
-111.85575,33.70639,0,"Engression"
-90.734175,33.750838,0.11,"Engression"
-80.781135,33.81468,0.9,"Engression"
-118.205,33.901389,0.37,"Engression"
-116.85841,33.92086,0,"Engression"
-111.79871,33.9828,0,"Engression"
-89.799183,34.002747,0.34,"Engression"
-84.607423,34.015436,0.07,"Engression"
-117.7514,34.06703,0,"Engression"
-117.49201,34.10002,0,"Engression"
-118.1272,34.1326,0,"Engression"
-117.27235,34.2431,0,"Engression"
-84.059506,34.376227,0.09,"Engression"
-119.691218,34.427775,0.91,"Engression"
-85.408847,34.474526,0.35,"Engression"
-86.967536,34.530717,0.13,"Engression"
-112.463213,34.612055,0,"Engression"
-86.756174,34.772727,0.06,"Engression"
-84.626423,34.785219,0,"Engression"
-89.98778,34.82056,0.03,"Engression"
-97.522753,34.984686,0,"Engression"
-78.991692,35.002304,0.05,"Engression"
-120.50103,35.03146,0.67,"Engression"
-119.40262,35.051454,0.06,"Engression"
-111.652777,35.206111,0.09,"Engression"
-83.7955,35.2578,0,"Engression"
-82.7925,35.379167,0,"Engression"
-83.442133,35.434767,0.25,"Engression"
-97.751503,35.479215,0,"Engression"
-119.272606,35.503587,0.01,"Engression"
-83.783611,35.603056,0.04,"Engression"
-94.669697,35.750735,0.06,"Engression"
-115.357087,35.785665,0,"Engression"
-81.191,35.9138,0.02,"Engression"
-81.933072,35.972347,0.23,"Engression"
-115.268517,36.004733,0,"Engression"
-94.167436,36.011703,0.13,"Engression"
-78.904037,36.032955,0.05,"Engression"
-83.764806,36.085508,0.18,"Engression"
-96.361196,36.105481,0,"Engression"
-79.802314,36.109006,0.05,"Engression"
-98.931973,36.158414,0,"Engression"
-115.263038,36.16976,0,"Engression"
-106.698369,36.187742,0,"Engression"
-95.976537,36.204902,0,"Engression"
-86.74472,36.205055,0.03,"Engression"
-79.09197,36.306965,0.17,"Engression"
-114.8799,36.40493,0,"Engression"
-121.73333,36.48187,0.91,"Engression"
-82.485742,36.58211,0,"Engression"
-120.382331,36.634225,0.99,"Engression"
-76.73078,36.66525,0.82,"Engression"
-119.77321,36.78538,0.66,"Engression"
-107.652192,36.809735,0,"Engression"
-119.716433,36.819449,0.99,"Engression"
-87.323337,36.91171,0.11,"Engression"
-120.034203,36.953256,0.27,"Engression"
-121.600031,37.079379,0.99,"Engression"
-88.60801,37.08727,0.01,"Engression"
-78.3069,37.1655,0.82,"Engression"
-113.305096,37.179125,0,"Engression"
-121.979675,37.226862,1,"Engression"
-94.42468,37.2385,0,"Engression"
-107.484167,37.30389,0,"Engression"
-121.894898,37.348497,1,"Engression"
-108.592334,37.350054,0.03,"Engression"
-77.59355,37.35748,0.27,"Engression"
-82.53532,37.4826,0.12,"Engression"
-77.2188,37.60613,0.2,"Engression"
-122.169935,37.743065,1,"Engression"
-122.399044,37.765946,0.99,"Engression"
-122.026154,37.936013,0.95,"Engression"
-87.577222,38.013333,0.11,"Engression"
-87.278056,38.051667,0.11,"Engression"
-78.50397,38.07657,0.04,"Engression"
-87.536667,38.113889,0.2,"Engression"
-86.60325,38.115152,0,"Engression"
-85.574361,38.182435,0,"Engression"
-85.82678,38.23158,0,"Engression"
-109.82126,38.45832,0,"Engression"
-121.211131,38.494475,0.17,"Engression"
-78.43471,38.5231,0,"Engression"
-82.731163,38.548136,0.22,"Engression"
-75.6106,38.6539,0.05,"Engression"
-92.09308,38.70608,0,"Engression"
-120.81162,38.73196,0.08,"Engression"
-77.63462,38.85287,0.14,"Engression"
-76.958072,38.895572,0.61,"Engression"
-121.09959,38.93568,0,"Engression"
-104.817215,38.958341,0.03,"Engression"
-77.016715,38.970092,0.11,"Engression"
-95.711275,39.024265,0.04,"Engression"
-90.84927,39.04577,0,"Engression"
-76.878333,39.055277,0.05,"Engression"
-88.548934,39.067159,0.01,"Engression"
-121.618549,39.138773,0.6,"Engression"
-84.69086,39.21487,0,"Engression"
-86.292269,39.263914,0.09,"Engression"
-78.08157,39.28102,0.04,"Engression"
-75.797317,39.305021,0,"Engression"
-94.580931,39.331913,0,"Engression"
-107.23056,39.4125,0,"Engression"
-75.025204,39.422273,0.2,"Engression"
-84.20077,39.42689,0,"Engression"
-81.460443,39.432117,0.01,"Engression"
-108.02611,39.43806,0,"Engression"
-77.042252,39.444294,0,"Engression"
-91.788991,39.474976,0.17,"Engression"
-119.7954,39.521933,0,"Engression"
-94.55594,39.53063,0,"Engression"
-119.71877,39.621434,0,"Engression"
