"Longitude","Latitude","Prediction","Method"
-67.144107,18.216038,0.745833333333333,"Random Forest"
-158.088613,21.323745,0.875,"Random Forest"
-80.111152,26.087567,0.325,"Random Forest"
-97.712684,26.200335,0.620833333333333,"Random Forest"
-81.710959,26.270083,0.1375,"Random Forest"
-80.219619,26.687606,0.975,"Random Forest"
-80.240689,27.172458,0.0375,"Random Forest"
-82.54593,27.633089,0.241666666666667,"Random Forest"
-82.000084,27.939746,0.0416666666666666,"Random Forest"
-80.628611,28.053611,0.116666666666667,"Random Forest"
-81.3625,28.596389,0.158333333333333,"Random Forest"
-81.310556,28.746111,-2.09554595897998e-16,"Random Forest"
-82.100646,29.170533,-2.09554595897998e-16,"Random Forest"
-94.861289,29.254474,0.0249999999999998,"Random Forest"
-103.17781,29.30265,-2.76861866765898e-16,"Random Forest"
-98.564936,29.632058,0.0499999999999998,"Random Forest"
-95.128508,29.670025,0.733333333333333,"Random Forest"
-95.635833,29.723333,0.720833333333333,"Random Forest"
-93.894081,29.727931,0.420833333333333,"Random Forest"
-95.220582,29.767997,0.7375,"Random Forest"
-95.125495,29.802707,1,"Random Forest"
-95.284096,29.828086,0.95,"Random Forest"
-94.317802,29.863957,0.875,"Random Forest"
-94.000556,29.9425,0.975,"Random Forest"
-91.869595,30.088872,0.354166666666667,"Random Forest"
-82.619167,30.178056,-2.18575157973078e-16,"Random Forest"
-82.441111,30.201111,0.270833333333333,"Random Forest"
-91.315418,30.221255,0.529166666666667,"Random Forest"
-90.965628,30.229653,0.9,"Random Forest"
-89.395916,30.300833,0.225,"Random Forest"
-97.761803,30.354944,0.2375,"Random Forest"
-87.880258,30.497478,0.925,"Random Forest"
-106.323578,31.785769,0.0249999999999998,"Random Forest"
-106.683324,31.787885,-2.76861866765898e-16,"Random Forest"
-106.584434,31.796218,0.0499999999999998,"Random Forest"
-106.631103,31.930659,0.00833333333333309,"Random Forest"
-84.08101,31.954286,0.591666666666667,"Random Forest"
-96.399141,32.031934,0.0416666666666664,"Random Forest"
-110.774357,32.04767,-1.56125112837913e-16,"Random Forest"
-104.443447,32.178157,-2.85188539450587e-16,"Random Forest"
-110.9823,32.29515,0.00833333333333307,"Random Forest"
-106.768337,32.317593,0.0249999999999998,"Random Forest"
-90.182722,32.329111,0.0249999999999998,"Random Forest"
-95.415754,32.344027,-3.08086889333481e-16,"Random Forest"
-104.262726,32.380118,-2.90045765183322e-16,"Random Forest"
-86.263394,32.412811,0.641666666666667,"Random Forest"
-92.046196,32.509959,0.25,"Random Forest"
-115.48307,32.67618,-1.30451205393456e-16,"Random Forest"
-115.56306,32.79222,0.45,"Random Forest"
-96.860117,32.820061,0.208333333333333,"Random Forest"
-97.905931,32.868773,0.2125,"Random Forest"
-96.808498,32.919206,0.0499999999999999,"Random Forest"
-96.459211,32.936523,0.5,"Random Forest"
-97.477175,32.987891,-2.37310171513627e-16,"Random Forest"
-115.62361,33.0325,0.341666666666667,"Random Forest"
-80.030712,33.183016,0.2,"Random Forest"
-115.54528,33.213611,0.0249999999999999,"Random Forest"
-97.196284,33.219069,-3.12250225675825e-16,"Random Forest"
-112.160597,33.290229,-2.58126853225349e-16,"Random Forest"
-117.09023,33.362593,0.6,"Random Forest"
-112.07526,33.40314,-3.27515792264421e-16,"Random Forest"
-111.86536,33.41018,-3.10168557504653e-16,"Random Forest"
-111.93471,33.41123,-3.11556336285435e-16,"Random Forest"
-111.5436,33.4214,-3.06005221162309e-16,"Random Forest"
-112.095767,33.503833,-3.36536354339501e-16,"Random Forest"
-111.60972,33.54558,0.0249999999999997,"Random Forest"
-112.06619,33.56031,0.0499999999999997,"Random Forest"
-82.131249,33.582044,0.554166666666667,"Random Forest"
-112.34185,33.63718,-3.91353616180368e-16,"Random Forest"
-84.2905,33.6878,0.125,"Random Forest"
-111.85575,33.70639,-4.05231403988182e-16,"Random Forest"
-90.734175,33.750838,0.0499999999999998,"Random Forest"
-80.781135,33.81468,0.683333333333333,"Random Forest"
-118.205,33.901389,0.241666666666667,"Random Forest"
-116.85841,33.92086,-4.0314973581701e-16,"Random Forest"
-111.79871,33.9828,-4.10782519111308e-16,"Random Forest"
-89.799183,34.002747,0.395833333333333,"Random Forest"
-84.607423,34.015436,-2.35228503342455e-16,"Random Forest"
-117.7514,34.06703,-3.30985239216375e-16,"Random Forest"
-117.49201,34.10002,-3.90659726789977e-16,"Random Forest"
-118.1272,34.1326,-2.33840724561674e-16,"Random Forest"
-117.27235,34.2431,-3.36536354339501e-16,"Random Forest"
-84.059506,34.376227,0.0249999999999998,"Random Forest"
-119.691218,34.427775,0.683333333333333,"Random Forest"
-85.408847,34.474526,0.2875,"Random Forest"
-86.967536,34.530717,0.170833333333333,"Random Forest"
-112.463213,34.612055,0.0249999999999997,"Random Forest"
-86.756174,34.772727,0.0124999999999997,"Random Forest"
-84.626423,34.785219,-3.740063814206e-16,"Random Forest"
-89.98778,34.82056,-4.35068647774983e-16,"Random Forest"
-97.522753,34.984686,-4.35762537165374e-16,"Random Forest"
-78.991692,35.002304,0.0874999999999998,"Random Forest"
-120.50103,35.03146,0.520833333333333,"Random Forest"
-119.40262,35.051454,-3.50414142147315e-16,"Random Forest"
-111.652777,35.206111,0.2,"Random Forest"
-83.7955,35.2578,-3.46944695195361e-16,"Random Forest"
-82.7925,35.379167,-3.98986399474666e-16,"Random Forest"
-83.442133,35.434767,0.375,"Random Forest"
-97.751503,35.479215,-4.44783099240453e-16,"Random Forest"
-119.272606,35.503587,-3.83026943495679e-16,"Random Forest"
-83.783611,35.603056,0.141666666666666,"Random Forest"
-94.669697,35.750735,-2.96984659087229e-16,"Random Forest"
-115.357087,35.785665,-3.54577478489659e-16,"Random Forest"
-81.191,35.9138,-3.67761376907083e-16,"Random Forest"
-81.933072,35.972347,0.225,"Random Forest"
-115.268517,36.004733,-3.63598040564739e-16,"Random Forest"
-94.167436,36.011703,0.0249999999999998,"Random Forest"
-78.904037,36.032955,0.00833333333333311,"Random Forest"
-83.764806,36.085508,0.183333333333333,"Random Forest"
-96.361196,36.105481,-4.44783099240453e-16,"Random Forest"
-79.802314,36.109006,-3.19189119579733e-16,"Random Forest"
-98.931973,36.158414,-4.44783099240453e-16,"Random Forest"
-115.263038,36.16976,-3.66373598126302e-16,"Random Forest"
